Year,SERIES,UNIT_MEASURE,Пол,AGE,Value
2018,SI_COV_SOCUSSA,Број,Мушкарци,_T,23658.0
2019,SI_COV_SOCUSSA,Број,Мушкарци,_T,23293.0
2020,SI_COV_SOCUSSA,Број,Мушкарци,_T,23661.0
2021,SI_COV_SOCUSSA,Број,Мушкарци,_T,24954.0
2012,SI_COV_SOCUSSA,Број,Мушкарци,_M,2811.0
2013,SI_COV_SOCUSSA,Број,Мушкарци,_M,2812.0
2014,SI_COV_SOCUSSA,Број,Мушкарци,_M,2653.0
2015,SI_COV_SOCUSSA,Број,Мушкарци,_M,1586.0
2016,SI_COV_SOCUSSA,Број,Мушкарци,_M,1797.0
2017,SI_COV_SOCUSSA,Број,Мушкарци,_M,2065.0
2018,SI_COV_SOCUSSA,Број,Мушкарци,_M,2430.0
2019,SI_COV_SOCUSSA,Број,Мушкарци,_M,2564.0
2020,SI_COV_SOCUSSA,Број,Мушкарци,_M,2754.0
2021,SI_COV_SOCUSSA,Број,Мушкарци,_M,2986.0
2012,SI_COV_SOCUSSA,Број,Мушкарци,_A,15901.0
2013,SI_COV_SOCUSSA,Број,Мушкарци,_A,16331.0
2014,SI_COV_SOCUSSA,Број,Мушкарци,_A,21005.0
2015,SI_COV_SOCUSSA,Број,Мушкарци,_A,17377.0
2016,SI_COV_SOCUSSA,Број,Мушкарци,_A,18129.0
2017,SI_COV_SOCUSSA,Број,Мушкарци,_A,17747.0
2018,SI_COV_SOCUSSA,Број,Мушкарци,_A,21228.0
2019,SI_COV_SOCUSSA,Број,Мушкарци,_A,20729.0
2020,SI_COV_SOCUSSA,Број,Мушкарци,_A,20907.0
2021,SI_COV_SOCUSSA,Број,Мушкарци,_A,21968.0
2012,SI_COV_SOCUSSA,Број,Жене,_T,22445.0
2013,SI_COV_SOCUSSA,Број,Жене,_T,22069.0
2014,SI_COV_SOCUSSA,Број,Жене,_T,25489.0
2015,SI_COV_SOCUSSA,Број,Жене,_T,22447.0
2016,SI_COV_SOCUSSA,Број,Жене,_T,23656.0
2017,SI_COV_SOCUSSA,Број,Жене,_T,23250.0
2018,SI_COV_SOCUSSA,Број,Жене,_T,25263.0
2019,SI_COV_SOCUSSA,Број,Жене,_T,25959.0
2020,SI_COV_SOCUSSA,Број,Жене,_T,26991.0
2021,SI_COV_SOCUSSA,Број,Жене,_T,27114.0
2012,SI_COV_SOCUSSA,Број,Жене,_M,2289.0
2013,SI_COV_SOCUSSA,Број,Жене,_M,2830.0
2014,SI_COV_SOCUSSA,Број,Жене,_M,2557.0
2015,SI_COV_SOCUSSA,Број,Жене,_M,1339.0
2016,SI_COV_SOCUSSA,Број,Жене,_M,1366.0
2017,SI_COV_SOCUSSA,Број,Жене,_M,1876.0
2018,SI_COV_SOCUSSA,Број,Жене,_M,2608.0
2019,SI_COV_SOCUSSA,Број,Жене,_M,1790.0
2020,SI_COV_SOCUSSA,Број,Жене,_M,1978.0
2021,SI_COV_SOCUSSA,Број,Жене,_M,2050.0
2012,SI_COV_SOCUSSA,Број,Жене,_A,20156.0
2013,SI_COV_SOCUSSA,Број,Жене,_A,19239.0
2014,SI_COV_SOCUSSA,Број,Жене,_A,22932.0
2015,SI_COV_SOCUSSA,Број,Жене,_A,21108.0
2016,SI_COV_SOCUSSA,Број,Жене,_A,22290.0
2017,SI_COV_SOCUSSA,Број,Жене,_A,21374.0
2018,SI_COV_SOCUSSA,Број,Жене,_A,22655.0
2019,SI_COV_SOCUSSA,Број,Жене,_A,24169.0
2020,SI_COV_SOCUSSA,Број,Жене,_A,25013.0
2021,SI_COV_SOCUSSA,Број,Жене,_A,25064.0
2012,SI_COV_SOCNP,Број,Оба пола или без подјеле по полу,_T,5156.0
2013,SI_COV_SOCNP,Број,Оба пола или без подјеле по полу,_T,5156.0
2014,SI_COV_SOCNP,Број,Оба пола или без подјеле по полу,_T,5219.0
2015,SI_COV_SOCNP,Број,Оба пола или без подјеле по полу,_T,5067.0
2016,SI_COV_SOCNP,Број,Оба пола или без подјеле по полу,_T,5071.0
2017,SI_COV_SOCNP,Број,Оба пола или без подјеле по полу,_T,4905.0
2018,SI_COV_SOCNP,Број,Оба пола или без подјеле по полу,_T,4487.0
2019,SI_COV_SOCNP,Број,Оба пола или без подјеле по полу,_T,4487.0
2020,SI_COV_SOCNP,Број,Оба пола или без подјеле по полу,_T,4076.0
2021,SI_COV_SOCNP,Број,Оба пола или без подјеле по полу,_T,4142.0
2012,SI_COV_SOCNP,Број,Мушкарци,_T,1852.0
2013,SI_COV_SOCNP,Број,Мушкарци,_T,1852.0
2014,SI_COV_SOCNP,Број,Мушкарци,_T,1940.0
2015,SI_COV_SOCNP,Број,Мушкарци,_T,1948.0
2016,SI_COV_SOCNP,Број,Мушкарци,_T,2020.0
2017,SI_COV_SOCNP,Број,Мушкарци,_T,1955.0
2018,SI_COV_SOCNP,Број,Мушкарци,_T,1800.0
2019,SI_COV_SOCNP,Број,Мушкарци,_T,1846.0
2020,SI_COV_SOCNP,Број,Мушкарци,_T,1727.0
2021,SI_COV_SOCNP,Број,Мушкарци,_T,1821.0
2012,SI_COV_SOCNP,Број,Жене,_T,3304.0
2013,SI_COV_SOCNP,Број,Жене,_T,3304.0
2014,SI_COV_SOCNP,Број,Жене,_T,3279.0
2015,SI_COV_SOCNP,Број,Жене,_T,3119.0
2016,SI_COV_SOCNP,Број,Жене,_T,3051.0
2017,SI_COV_SOCNP,Број,Жене,_T,2950.0
2018,SI_COV_SOCNP,Број,Жене,_T,2687.0
2019,SI_COV_SOCNP,Број,Жене,_T,2641.0
2020,SI_COV_SOCNP,Број,Жене,_T,2349.0
2021,SI_COV_SOCNP,Број,Жене,_T,2321.0
2012,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_T,17219.0
2013,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_T,17219.0
2014,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_T,20286.0
2015,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_T,23048.0
2016,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_T,25127.0
2017,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_T,25944.0
2018,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_T,26394.0
2019,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_T,27774.0
2020,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_T,28270.0
2021,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_T,29691.0
2012,SI_COV_SOCDL,Број,Мушкарци,_T,8008.0
2013,SI_COV_SOCDL,Број,Мушкарци,_T,8008.0
2014,SI_COV_SOCDL,Број,Мушкарци,_T,9264.0
2015,SI_COV_SOCDL,Број,Мушкарци,_T,10465.0
2016,SI_COV_SOCDL,Број,Мушкарци,_T,11383.0
2017,SI_COV_SOCDL,Број,Мушкарци,_T,11987.0
2018,SI_COV_SOCDL,Број,Мушкарци,_T,12123.0
2019,SI_COV_SOCDL,Број,Мушкарци,_T,12813.0
2020,SI_COV_SOCDL,Број,Мушкарци,_T,12419.0
2021,SI_COV_SOCDL,Број,Мушкарци,_T,13673.0
2012,SI_COV_SOCDL,Број,Жене,_T,9211.0
2013,SI_COV_SOCDL,Број,Жене,_T,9211.0
2014,SI_COV_SOCDL,Број,Жене,_T,11022.0
2015,SI_COV_SOCDL,Број,Жене,_T,12581.0
2016,SI_COV_SOCDL,Број,Жене,_T,13744.0
2017,SI_COV_SOCDL,Број,Жене,_T,13957.0
2018,SI_COV_SOCDL,Број,Жене,_T,14271.0
2019,SI_COV_SOCDL,Број,Жене,_T,14961.0
2020,SI_COV_SOCDL,Број,Жене,_T,15851.0
2021,SI_COV_SOCDL,Број,Жене,_T,16018.0
2012,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_OWCH,1849.0
2013,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_OWCH,1849.0
2014,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_OWCH,1501.0
2015,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_OWCH,1272.0
2016,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_OWCH,1492.0
2017,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_OWCH,2022.0
2018,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_OWCH,1538.0
2019,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_OWCH,1689.0
2020,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_OWCH,1982.0
2021,SI_COV_SOCDL,Број,Оба пола или без подјеле по полу,_OWCH,2021.0
2012,SI_COV_SOCDL,Број,Мушкарци,_OWCH,937.0
2013,SI_COV_SOCDL,Број,Мушкарци,_OWCH,937.0
2014,SI_COV_SOCDL,Број,Мушкарци,_OWCH,848.0
2015,SI_COV_SOCDL,Број,Мушкарци,_OWCH,718.0
2016,SI_COV_SOCDL,Број,Мушкарци,_OWCH,905.0
2017,SI_COV_SOCDL,Број,Мушкарци,_OWCH,1129.0
2018,SI_COV_SOCDL,Број,Мушкарци,_OWCH,919.0
2019,SI_COV_SOCDL,Број,Мушкарци,_OWCH,1010.0
2020,SI_COV_SOCDL,Број,Мушкарци,_OWCH,1189.0
2021,SI_COV_SOCDL,Број,Мушкарци,_OWCH,1220.0
2012,SI_COV_SOCDL,Број,Жене,_OWCH,912.0
2013,SI_COV_SOCDL,Број,Жене,_OWCH,912.0
2014,SI_COV_SOCDL,Број,Жене,_OWCH,653.0
2015,SI_COV_SOCDL,Број,Жене,_OWCH,554.0
2016,SI_COV_SOCDL,Број,Жене,_OWCH,587.0
2017,SI_COV_SOCDL,Број,Жене,_OWCH,893.0
2018,SI_COV_SOCDL,Број,Жене,_OWCH,619.0
2019,SI_COV_SOCDL,Број,Жене,_OWCH,679.0
2020,SI_COV_SOCDL,Број,Жене,_OWCH,793.0
2021,SI_COV_SOCDL,Број,Жене,_OWCH,801.0
2012,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_T,333.0
2013,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_T,333.0
2014,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_T,432.0
2015,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_T,410.0
2016,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_T,339.0
2017,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_T,349.0
2018,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_T,382.0
2019,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_T,239.0
2020,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_T,223.0
2021,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_T,248.0
2012,SI_COV_SOCSRAZ,Број,Мушкарци,_T,199.0
2013,SI_COV_SOCSRAZ,Број,Мушкарци,_T,199.0
2014,SI_COV_SOCSRAZ,Број,Мушкарци,_T,248.0
2015,SI_COV_SOCSRAZ,Број,Мушкарци,_T,235.0
2016,SI_COV_SOCSRAZ,Број,Мушкарци,_T,186.0
2017,SI_COV_SOCSRAZ,Број,Мушкарци,_T,184.0
2018,SI_COV_SOCSRAZ,Број,Мушкарци,_T,204.0
2019,SI_COV_SOCSRAZ,Број,Мушкарци,_T,115.0
2020,SI_COV_SOCSRAZ,Број,Мушкарци,_T,112.0
2021,SI_COV_SOCSRAZ,Број,Мушкарци,_T,137.0
2012,SI_COV_SOCSRAZ,Број,Жене,_T,134.0
2013,SI_COV_SOCSRAZ,Број,Жене,_T,134.0
2014,SI_COV_SOCSRAZ,Број,Жене,_T,184.0
2015,SI_COV_SOCSRAZ,Број,Жене,_T,175.0
2016,SI_COV_SOCSRAZ,Број,Жене,_T,153.0
2017,SI_COV_SOCSRAZ,Број,Жене,_T,165.0
2018,SI_COV_SOCSRAZ,Број,Жене,_T,178.0
2019,SI_COV_SOCSRAZ,Број,Жене,_T,121.0
2020,SI_COV_SOCSRAZ,Број,Жене,_T,111.0
2021,SI_COV_SOCSRAZ,Број,Жене,_T,111.0
2012,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_OWCH,290.0
2013,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_OWCH,290.0
2014,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_OWCH,414.0
2015,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_OWCH,386.0
2016,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_OWCH,306.0
2017,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_OWCH,322.0
2018,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_OWCH,325.0
2019,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_OWCH,147.0
2020,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_OWCH,141.0
2021,SI_COV_SOCSRAZ,Број,Оба пола или без подјеле по полу,_OWCH,134.0
2012,SI_COV_SOCSRAZ,Број,Мушкарци,_OWCH,175.0
2013,SI_COV_SOCSRAZ,Број,Мушкарци,_OWCH,175.0
2014,SI_COV_SOCSRAZ,Број,Мушкарци,_OWCH,237.0
2015,SI_COV_SOCSRAZ,Број,Мушкарци,_OWCH,229.0
2016,SI_COV_SOCSRAZ,Број,Мушкарци,_OWCH,170.0
2017,SI_COV_SOCSRAZ,Број,Мушкарци,_OWCH,175.0
2018,SI_COV_SOCSRAZ,Број,Мушкарци,_OWCH,194.0
2019,SI_COV_SOCSRAZ,Број,Мушкарци,_OWCH,74.0
2020,SI_COV_SOCSRAZ,Број,Мушкарци,_OWCH,75.0
2021,SI_COV_SOCSRAZ,Број,Мушкарци,_OWCH,74.0
2012,SI_COV_SOCSRAZ,Број,Жене,_OWCH,115.0
2013,SI_COV_SOCSRAZ,Број,Жене,_OWCH,115.0
2014,SI_COV_SOCSRAZ,Број,Жене,_OWCH,177.0
2015,SI_COV_SOCSRAZ,Број,Жене,_OWCH,157.0
2016,SI_COV_SOCSRAZ,Број,Жене,_OWCH,136.0
2017,SI_COV_SOCSRAZ,Број,Жене,_OWCH,147.0
2018,SI_COV_SOCSRAZ,Број,Жене,_OWCH,131.0
2019,SI_COV_SOCSRAZ,Број,Жене,_OWCH,73.0
2020,SI_COV_SOCSRAZ,Број,Жене,_OWCH,66.0
2021,SI_COV_SOCSRAZ,Број,Жене,_OWCH,60.0
2012,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_T,1048.0
2013,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_T,1048.0
2014,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_T,1059.0
2015,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_T,1029.0
2016,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_T,1089.0
2017,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_T,1071.0
2018,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_T,1145.0
2019,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_T,1078.0
2020,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_T,1179.0
2021,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_T,1190.0
2012,SI_COV_SOCSUST,Број,Мушкарци,_T,473.0
2013,SI_COV_SOCSUST,Број,Мушкарци,_T,473.0
2014,SI_COV_SOCSUST,Број,Мушкарци,_T,491.0
2015,SI_COV_SOCSUST,Број,Мушкарци,_T,504.0
2016,SI_COV_SOCSUST,Број,Мушкарци,_T,504.0
2017,SI_COV_SOCSUST,Број,Мушкарци,_T,500.0
2018,SI_COV_SOCSUST,Број,Мушкарци,_T,525.0
2019,SI_COV_SOCSUST,Број,Мушкарци,_T,504.0
2020,SI_COV_SOCSUST,Број,Мушкарци,_T,544.0
2021,SI_COV_SOCSUST,Број,Мушкарци,_T,533.0
2012,SI_COV_SOCSUST,Број,Жене,_T,575.0
2013,SI_COV_SOCSUST,Број,Жене,_T,575.0
2014,SI_COV_SOCSUST,Број,Жене,_T,568.0
2015,SI_COV_SOCSUST,Број,Жене,_T,525.0
2016,SI_COV_SOCSUST,Број,Жене,_T,585.0
2017,SI_COV_SOCSUST,Број,Жене,_T,571.0
2018,SI_COV_SOCSUST,Број,Жене,_T,620.0
2019,SI_COV_SOCSUST,Број,Жене,_T,574.0
2020,SI_COV_SOCSUST,Број,Жене,_T,635.0
2021,SI_COV_SOCSUST,Број,Жене,_T,657.0
2012,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_OWCH,225.0
2013,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_OWCH,225.0
2014,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_OWCH,207.0
2015,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_OWCH,199.0
2016,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_OWCH,224.0
2017,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_OWCH,183.0
2018,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_OWCH,170.0
2019,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_OWCH,154.0
2020,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_OWCH,152.0
2021,SI_COV_SOCSUST,Број,Оба пола или без подјеле по полу,_OWCH,159.0
2012,SI_COV_SOCSUST,Број,Мушкарци,_OWCH,119.0
2013,SI_COV_SOCSUST,Број,Мушкарци,_OWCH,119.0
2014,SI_COV_SOCSUST,Број,Мушкарци,_OWCH,106.0
2015,SI_COV_SOCSUST,Број,Мушкарци,_OWCH,106.0
2016,SI_COV_SOCSUST,Број,Мушкарци,_OWCH,118.0
2017,SI_COV_SOCSUST,Број,Мушкарци,_OWCH,94.0
2018,SI_COV_SOCSUST,Број,Мушкарци,_OWCH,90.0
2019,SI_COV_SOCSUST,Број,Мушкарци,_OWCH,73.0
2020,SI_COV_SOCSUST,Број,Мушкарци,_OWCH,74.0
2021,SI_COV_SOCSUST,Број,Мушкарци,_OWCH,82.0
2012,SI_COV_SOCSUST,Број,Жене,_OWCH,106.0
2013,SI_COV_SOCSUST,Број,Жене,_OWCH,106.0
2014,SI_COV_SOCSUST,Број,Жене,_OWCH,101.0
2015,SI_COV_SOCSUST,Број,Жене,_OWCH,93.0
2016,SI_COV_SOCSUST,Број,Жене,_OWCH,106.0
2017,SI_COV_SOCSUST,Број,Жене,_OWCH,89.0
2018,SI_COV_SOCSUST,Број,Жене,_OWCH,80.0
2019,SI_COV_SOCSUST,Број,Жене,_OWCH,81.0
2020,SI_COV_SOCSUST,Број,Жене,_OWCH,78.0
2021,SI_COV_SOCSUST,Број,Жене,_OWCH,77.0
2012,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_T,389.0
2013,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_T,389.0
2014,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_T,426.0
2015,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_T,356.0
2016,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_T,356.0
2017,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_T,392.0
2018,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_T,390.0
2019,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_T,373.0
2020,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_T,370.0
2021,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_T,333.0
2012,SI_COV_SOCHRP,Број,Мушкарци,_T,182.0
2013,SI_COV_SOCHRP,Број,Мушкарци,_T,182.0
2014,SI_COV_SOCHRP,Број,Мушкарци,_T,198.0
2015,SI_COV_SOCHRP,Број,Мушкарци,_T,167.0
2016,SI_COV_SOCHRP,Број,Мушкарци,_T,167.0
2017,SI_COV_SOCHRP,Број,Мушкарци,_T,194.0
2018,SI_COV_SOCHRP,Број,Мушкарци,_T,192.0
2019,SI_COV_SOCHRP,Број,Мушкарци,_T,168.0
2020,SI_COV_SOCHRP,Број,Мушкарци,_T,175.0
2021,SI_COV_SOCHRP,Број,Мушкарци,_T,159.0
2012,SI_COV_SOCHRP,Број,Жене,_T,211.0
2013,SI_COV_SOCHRP,Број,Жене,_T,211.0
2014,SI_COV_SOCHRP,Број,Жене,_T,228.0
2015,SI_COV_SOCHRP,Број,Жене,_T,189.0
2016,SI_COV_SOCHRP,Број,Жене,_T,189.0
2017,SI_COV_SOCHRP,Број,Жене,_T,198.0
2018,SI_COV_SOCHRP,Број,Жене,_T,198.0
2019,SI_COV_SOCHRP,Број,Жене,_T,205.0
2020,SI_COV_SOCHRP,Број,Жене,_T,195.0
2021,SI_COV_SOCHRP,Број,Жене,_T,174.0
2012,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_OWCH,119.0
2013,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_OWCH,119.0
2014,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_OWCH,196.0
2015,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_OWCH,252.0
2016,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_OWCH,259.0
2017,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_OWCH,272.0
2018,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_OWCH,223.0
2019,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_OWCH,210.0
2020,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_OWCH,206.0
2021,SI_COV_SOCHRP,Број,Оба пола или без подјеле по полу,_OWCH,208.0
2012,SI_COV_SOCHRP,Број,Мушкарци,_OWCH,61.0
2013,SI_COV_SOCHRP,Број,Мушкарци,_OWCH,61.0
2014,SI_COV_SOCHRP,Број,Мушкарци,_OWCH,101.0
2015,SI_COV_SOCHRP,Број,Мушкарци,_OWCH,127.0
2016,SI_COV_SOCHRP,Број,Мушкарци,_OWCH,135.0
2017,SI_COV_SOCHRP,Број,Мушкарци,_OWCH,137.0
2018,SI_COV_SOCHRP,Број,Мушкарци,_OWCH,117.0
2019,SI_COV_SOCHRP,Број,Мушкарци,_OWCH,96.0
2020,SI_COV_SOCHRP,Број,Мушкарци,_OWCH,102.0
2021,SI_COV_SOCHRP,Број,Мушкарци,_OWCH,99.0
2012,SI_COV_SOCHRP,Број,Жене,_OWCH,58.0
2013,SI_COV_SOCHRP,Број,Жене,_OWCH,58.0
2014,SI_COV_SOCHRP,Број,Жене,_OWCH,95.0
2015,SI_COV_SOCHRP,Број,Жене,_OWCH,125.0
2016,SI_COV_SOCHRP,Број,Жене,_OWCH,124.0
2017,SI_COV_SOCHRP,Број,Жене,_OWCH,135.0
2018,SI_COV_SOCHRP,Број,Жене,_OWCH,106.0
2019,SI_COV_SOCHRP,Број,Жене,_OWCH,114.0
2020,SI_COV_SOCHRP,Број,Жене,_OWCH,104.0
2021,SI_COV_SOCHRP,Број,Жене,_OWCH,109.0
2012,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_T,285.0
2013,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_T,285.0
2014,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_T,217.0
2015,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_T,217.0
2016,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_T,237.0
2017,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_T,220.0
2018,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_T,201.0
2019,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_T,233.0
2020,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_T,186.0
2021,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_T,152.0
2012,SI_COV_SOCHHLP,Број,Мушкарци,_T,123.0
2013,SI_COV_SOCHHLP,Број,Мушкарци,_T,123.0
2014,SI_COV_SOCHHLP,Број,Мушкарци,_T,55.0
2015,SI_COV_SOCHHLP,Број,Мушкарци,_T,58.0
2016,SI_COV_SOCHHLP,Број,Мушкарци,_T,67.0
2017,SI_COV_SOCHHLP,Број,Мушкарци,_T,102.0
2018,SI_COV_SOCHHLP,Број,Мушкарци,_T,100.0
2019,SI_COV_SOCHHLP,Број,Мушкарци,_T,69.0
2020,SI_COV_SOCHHLP,Број,Мушкарци,_T,66.0
2021,SI_COV_SOCHHLP,Број,Мушкарци,_T,63.0
2012,SI_COV_SOCHHLP,Број,Жене,_T,163.0
2013,SI_COV_SOCHHLP,Број,Жене,_T,163.0
2014,SI_COV_SOCHHLP,Број,Жене,_T,162.0
2015,SI_COV_SOCHHLP,Број,Жене,_T,159.0
2016,SI_COV_SOCHHLP,Број,Жене,_T,170.0
2017,SI_COV_SOCHHLP,Број,Жене,_T,118.0
