Year,SERIES,UNIT_MEASURE,Пол,Године,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Value
2015,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,18.6
2016,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,15.3
2017,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,13.4
2018,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,12.4
2019,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,5.9
2020,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,8.7
2021,Стопа незапослености,Проценат,Мушкарци,Y50T64,,,,,,,,,,,,,,8.4
2009,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,15.0
2010,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,17.9
2011,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,21.0
2012,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,16.4
2013,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,20.3
2014,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,15.5
2015,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,16.6
2016,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,19.3
2017,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,15.5
2018,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,11.9
2019,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,12.2
2020,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,8.6
2021,Стопа незапослености,Проценат,Жене,Y50T64,,,,,,,,,,,,,,13.6
2021,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y_GE65,,,,,,,,,,,,,,7.7
2021,Стопа незапослености,Проценат,Мушкарци,Y_GE65,,,,,,,,,,,,,,6.4
2021,Стопа незапослености,Проценат,Жене,Y_GE65,,,,,,,,,,,,,,9.1
2009,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,21.9
2010,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,24.5
2011,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,25.2
2012,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,26.6
2013,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,28.0
2014,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,26.8
2015,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,26.3
2016,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,25.5
2017,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,22.1
2018,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,18.0
2019,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,12.7
2020,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,13.4
2021,Стопа незапослености,Проценат,Оба пола или без подјеле по полу,Y15T64,,,,,,,,,,,,,,14.5
2009,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,21.2
2010,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,22.8
2011,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,23.7
2012,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,24.6
2013,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,26.2
2014,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,24.9
2015,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,24.4
2016,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,22.1
2017,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,19.0
2018,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,17.0
2019,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,10.3
2020,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,13.2
2021,Стопа незапослености,Проценат,Мушкарци,Y15T64,,,,,,,,,,,,,,13.0
2009,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,23.0
2010,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,26.9
2011,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,27.5
2012,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,29.4
2013,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,30.6
2014,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,29.7
2015,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,29.1
2016,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,30.6
2017,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,26.5
2018,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,19.7
2019,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,16.1
2020,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,13.7
2021,Стопа незапослености,Проценат,Жене,Y15T64,,,,,,,,,,,,,,16.6
