Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2019,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Нераспоређено,9147
2020,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Нераспоређено,10140
2021,Извоз из Републике Српске по економским групацијама земаља,у хиљадама КМ,Нераспоређено,11533
2011,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,1823350
2012,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,1840594
2013,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,1799168
2014,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,1965735
2015,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,2085822
2016,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,2208555
2017,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,2410269
2018,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,2618484
2019,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,2726613
2020,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,2567470
2021,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕУ–27,3227270
2011,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,21632
2012,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,24819
2013,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,18033
2014,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,21351
2015,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,21241
2016,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,22914
2017,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,20201
2018,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,27771
2019,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,28491
2020,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,24219
2021,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Земље ЕФТА,29331
2011,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,150665
2012,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,154467
2013,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,162449
2014,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,180678
2015,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,204874
2016,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,213756
2017,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,270827
2018,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,272463
2019,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,272676
2020,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,231526
2021,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале развијене земље,295075
2011,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,892210
2012,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,839045
2013,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,842108
2014,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,877818
2015,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,839876
2016,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,888280
2017,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,940851
2018,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,980069
2019,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,989658
2020,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,934931
2021,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,ЦЕФТА,1164118
2011,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,1689561
2012,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,1628570
2013,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,1735852
2014,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,1900457
2015,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,1217367
2016,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,1092154
2017,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,1246075
2018,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,1313208
2019,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,760076
2020,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,709971
2021,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Остале земље у развоју,861202
2011,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Нераспоређено,107
2012,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Нераспоређено,53
2013,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Нераспоређено,26
2014,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Нераспоређено,22
2015,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Нераспоређено,0
2016,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Нераспоређено,1284
2017,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Нераспоређено,10857
2018,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Нераспоређено,10275
2019,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Нераспоређено,4677
2020,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Нераспоређено,4171
2021,Увоз у Републику Српску по економским групацијама земаља,у хиљадама КМ,Нераспоређено,3527
