Year,SERIES,UNIT_MEASURE,Пол,Године,COMPOSITE_BREAKDOWN,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Value
2016.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,1.0
2017.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
2018.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
2019.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
2020.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
2021.0,Детектоване жртве трговине људима (број),Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNK,,,,,0.0
2009.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.0
2010.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.0
2011.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.1
2012.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.2
2013.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.0
2014.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.0
2015.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.1
2016.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.1
2017.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.1
2018.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.0
2019.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.1
2020.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.1
2021.0,VC_HTF_DETVR,На 100.000 становника,,,,,,,,0.0
,,,,,,,,,,
