Year,SERIES,UNIT_MEASURE,Пол,Степен урбанизације,AGE,Ниво образовања,COMPOSITE_BREAKDOWN,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Value
2017,SE_ADT_ACTSI,Проценат,,,Y16T24,,,,,,,,,,,,97.3
2018,SE_ADT_ACTSI,Проценат,,,Y16T24,,,,,,,,,,,,97.5
2019,SE_ADT_ACTSI,Проценат,,,Y16T24,,,,,,,,,,,,100.0
2020,SE_ADT_ACTSI,Проценат,,,Y16T24,,,,,,,,,,,,100.0
2021,SE_ADT_ACTSI,Проценат,,,Y16T24,,,,,,,,,,,,100.0
2014,SE_ADT_ACTSI,Проценат,,,Y25T34,,,,,,,,,,,,77.5
2015,SE_ADT_ACTSI,Проценат,,,Y25T34,,,,,,,,,,,,78.9
2016,SE_ADT_ACTSI,Проценат,,,Y25T34,,,,,,,,,,,,80.9
2017,SE_ADT_ACTSI,Проценат,,,Y25T34,,,,,,,,,,,,93.0
2018,SE_ADT_ACTSI,Проценат,,,Y25T34,,,,,,,,,,,,96.8
2019,SE_ADT_ACTSI,Проценат,,,Y25T34,,,,,,,,,,,,98.7
2020,SE_ADT_ACTSI,Проценат,,,Y25T34,,,,,,,,,,,,100.0
2021,SE_ADT_ACTSI,Проценат,,,Y25T34,,,,,,,,,,,,99.6
2014,SE_ADT_ACTSI,Проценат,,,Y35T44,,,,,,,,,,,,66.8
2015,SE_ADT_ACTSI,Проценат,,,Y35T45,,,,,,,,,,,,68.4
2016,SE_ADT_ACTSI,Проценат,,,Y35T46,,,,,,,,,,,,64.5
2017,SE_ADT_ACTSI,Проценат,,,Y35T47,,,,,,,,,,,,82.7
2018,SE_ADT_ACTSI,Проценат,,,Y35T48,,,,,,,,,,,,94.3
2019,SE_ADT_ACTSI,Проценат,,,Y35T49,,,,,,,,,,,,91.7
2020,SE_ADT_ACTSI,Проценат,,,Y35T50,,,,,,,,,,,,100.0
2021,SE_ADT_ACTSI,Проценат,,,Y35T51,,,,,,,,,,,,95.2
2014,SE_ADT_ACTSI,Проценат,,,Y45T54,,,,,,,,,,,,44.9
2015,SE_ADT_ACTSI,Проценат,,,Y45T54,,,,,,,,,,,,48.3
2016,SE_ADT_ACTSI,Проценат,,,Y45T54,,,,,,,,,,,,47.6
2017,SE_ADT_ACTSI,Проценат,,,Y45T54,,,,,,,,,,,,73.4
2018,SE_ADT_ACTSI,Проценат,,,Y45T54,,,,,,,,,,,,85.6
2019,SE_ADT_ACTSI,Проценат,,,Y45T54,,,,,,,,,,,,82.3
2020,SE_ADT_ACTSI,Проценат,,,Y45T54,,,,,,,,,,,,94.7
2021,SE_ADT_ACTSI,Проценат,,,Y45T54,,,,,,,,,,,,93.4
2014,SE_ADT_ACTSI,Проценат,,,Y55T64,,,,,,,,,,,,20.2
2015,SE_ADT_ACTSI,Проценат,,,Y55T64,,,,,,,,,,,,28.5
2016,SE_ADT_ACTSI,Проценат,,,Y55T64,,,,,,,,,,,,27.7
2017,SE_ADT_ACTSI,Проценат,,,Y55T64,,,,,,,,,,,,46.0
2018,SE_ADT_ACTSI,Проценат,,,Y55T64,,,,,,,,,,,,60.1
2019,SE_ADT_ACTSI,Проценат,,,Y55T64,,,,,,,,,,,,65.0
2020,SE_ADT_ACTSI,Проценат,,,Y55T64,,,,,,,,,,,,71.6
2021,SE_ADT_ACTSI,Проценат,,,Y55T64,,,,,,,,,,,,78.0
2014,SE_ADT_ACTSI,Проценат,,,Y65T74,,,,,,,,,,,,6.1
2015,SE_ADT_ACTSI,Проценат,,,Y65T74,,,,,,,,,,,,11.4
2016,SE_ADT_ACTSI,Проценат,,,Y65T74,,,,,,,,,,,,10.3
2017,SE_ADT_ACTSI,Проценат,,,Y65T74,,,,,,,,,,,,24.7
2018,SE_ADT_ACTSI,Проценат,,,Y65T74,,,,,,,,,,,,30.8
2019,SE_ADT_ACTSI,Проценат,,,Y65T74,,,,,,,,,,,,40.0
2020,SE_ADT_ACTSI,Проценат,,,Y65T74,,,,,,,,,,,,36.3
2021,SE_ADT_ACTSI,Проценат,,,Y65T74,,,,,,,,,,,,54.3
2014,SE_ADT_ACTSI,Проценат,,,,Ниже од средњег,,,,,,,,,,,8.9
2015,SE_ADT_ACTSI,Проценат,,,,Ниже од средњег,,,,,,,,,,,9.7
2016,SE_ADT_ACTSI,Проценат,,,,Ниже од средњег,,,,,,,,,,,17.7
2017,SE_ADT_ACTSI,Проценат,,,,Ниже од средњег,,,,,,,,,,,43.1
2018,SE_ADT_ACTSI,Проценат,,,,Ниже од средњег,,,,,,,,,,,39.3
2019,SE_ADT_ACTSI,Проценат,,,,Ниже од средњег,,,,,,,,,,,40.2
2020,SE_ADT_ACTSI,Проценат,,,,Ниже од средњег,,,,,,,,,,,39.0
2021,SE_ADT_ACTSI,Проценат,,,,Ниже од средњег,,,,,,,,,,,50.1
2014,SE_ADT_ACTSI,Проценат,,,,Средње,,,,,,,,,,,48.4
2015,SE_ADT_ACTSI,Проценат,,,,Средње,,,,,,,,,,,52.5
2016,SE_ADT_ACTSI,Проценат,,,,Средње,,,,,,,,,,,54.8
2017,SE_ADT_ACTSI,Проценат,,,,Средње,,,,,,,,,,,74.0
2018,SE_ADT_ACTSI,Проценат,,,,Средње,,,,,,,,,,,80.4
2019,SE_ADT_ACTSI,Проценат,,,,Средње,,,,,,,,,,,79.4
2020,SE_ADT_ACTSI,Проценат,,,,Средње,,,,,,,,,,,80.9
2021,SE_ADT_ACTSI,Проценат,,,,Средње,,,,,,,,,,,85.1
2014,SE_ADT_ACTSI,Проценат,,,,Више и високо,,,,,,,,,,,74.9
2015,SE_ADT_ACTSI,Проценат,,,,Више и високо,,,,,,,,,,,81.1
2016,SE_ADT_ACTSI,Проценат,,,,Више и високо,,,,,,,,,,,79.4
2017,SE_ADT_ACTSI,Проценат,,,,Више и високо,,,,,,,,,,,93.0
2018,SE_ADT_ACTSI,Проценат,,,,Више и високо,,,,,,,,,,,98.3
2019,SE_ADT_ACTSI,Проценат,,,,Више и високо,,,,,,,,,,,95.6
2020,SE_ADT_ACTSI,Проценат,,,,Више и високо,,,,,,,,,,,94.3
2021,SE_ADT_ACTSI,Проценат,,,,Више и високо,,,,,,,,,,,95.4
2014,SE_ADT_ACTSI,Проценат,,,,,Студенти,,,,,,,,,,88.4
2015,SE_ADT_ACTSI,Проценат,,,,,Студенти,,,,,,,,,,100.0
2016,SE_ADT_ACTSI,Проценат,,,,,Студенти,,,,,,,,,,95.9
2017,SE_ADT_ACTSI,Проценат,,,,,Студенти,,,,,,,,,,98.5
2018,SE_ADT_ACTSI,Проценат,,,,,Студенти,,,,,,,,,,100.0
2019,SE_ADT_ACTSI,Проценат,,,,,Студенти,,,,,,,,,,100.0
2020,SE_ADT_ACTSI,Проценат,,,,,Студенти,,,,,,,,,,100.0
2021,SE_ADT_ACTSI,Проценат,,,,,Студенти,,,,,,,,,,100.0
2014,SE_ADT_ACTSI,Проценат,,,,,Запослени,,,,,,,,,,68.7
2015,SE_ADT_ACTSI,Проценат,,,,,Запослени,,,,,,,,,,75.7
2016,SE_ADT_ACTSI,Проценат,,,,,Запослени,,,,,,,,,,68.6
2017,SE_ADT_ACTSI,Проценат,,,,,Запослени,,,,,,,,,,86.4
2018,SE_ADT_ACTSI,Проценат,,,,,Запослени,,,,,,,,,,94.0
2019,SE_ADT_ACTSI,Проценат,,,,,Запослени,,,,,,,,,,92.2
2020,SE_ADT_ACTSI,Проценат,,,,,Запослени,,,,,,,,,,97.1
2021,SE_ADT_ACTSI,Проценат,,,,,Запослени,,,,,,,,,,96.5
2014,SE_ADT_ACTSI,Проценат,,,,,Незапослени,,,,,,,,,,34.9
2015,SE_ADT_ACTSI,Проценат,,,,,Незапослени,,,,,,,,,,44.4
2016,SE_ADT_ACTSI,Проценат,,,,,Незапослени,,,,,,,,,,40.9
2017,SE_ADT_ACTSI,Проценат,,,,,Незапослени,,,,,,,,,,64.4
2018,SE_ADT_ACTSI,Проценат,,,,,Незапослени,,,,,,,,,,74.9
2019,SE_ADT_ACTSI,Проценат,,,,,Незапослени,,,,,,,,,,68.0
2020,SE_ADT_ACTSI,Проценат,,,,,Незапослени,,,,,,,,,,79.0
2021,SE_ADT_ACTSI,Проценат,,,,,Незапослени,,,,,,,,,,84.5
2014,SE_ADT_ACTSI,Проценат,,,,,Остало,,,,,,,,,,13.3
2015,SE_ADT_ACTSI,Проценат,,,,,Остало,,,,,,,,,,17.8
2016,SE_ADT_ACTSI,Проценат,,,,,Остало,,,,,,,,,,17.7
2017,SE_ADT_ACTSI,Проценат,,,,,Остало,,,,,,,,,,31.3
2018,SE_ADT_ACTSI,Проценат,,,,,Остало,,,,,,,,,,42.4
2019,SE_ADT_ACTSI,Проценат,,,,,Остало,,,,,,,,,,52.7
2020,SE_ADT_ACTSI,Проценат,,,,,Остало,,,,,,,,,,47.9
2021,SE_ADT_ACTSI,Проценат,,,,,Остало,,,,,,,,,,65.3
