Year,SERIES,UNIT_MEASURE,Године,Пол,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Value
2019,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,1.0
2020,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,0.0
2021,SH_HIV_INCDAS,Број,Сви старосни распони или нема подјеле по годинама,Жене,,,,,,,,,,,2.0
2009,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2009,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2009,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2009,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,2.0
2009,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2009,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2010,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2010,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,2.0
2010,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,2.0
2010,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2010,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2010,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2011,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2011,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,2.0
2011,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2011,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2011,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2011,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2012,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,3.0
2012,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,3.0
2012,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,2.0
2012,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2012,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2012,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2013,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,2.0
2013,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,5.0
2013,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2013,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2013,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2013,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2014,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2014,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2014,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2014,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2014,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2014,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2015,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2015,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2015,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2015,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2015,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2015,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,5.0
2016,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2016,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2016,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2016,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2016,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2016,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,5.0
2017,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2017,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,2.0
2017,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,3.0
2017,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2017,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2017,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2018,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,2.0
2018,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2018,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2018,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2018,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2018,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2019,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2019,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,4.0
2019,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2019,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2019,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2019,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2020,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2020,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2020,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2020,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2020,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2020,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2021,SH_HIV_INCDAS,Број,Y20T29,Оба пола или без подјеле по полу,,,,,,,,,,,5.0
2021,SH_HIV_INCDAS,Број,Y30T39,Оба пола или без подјеле по полу,,,,,,,,,,,7.0
2021,SH_HIV_INCDAS,Број,Y40T49,Оба пола или без подјеле по полу,,,,,,,,,,,3.0
2021,SH_HIV_INCDAS,Број,Y50T59,Оба пола или без подјеле по полу,,,,,,,,,,,1.0
2021,SH_HIV_INCDAS,Број,Y60T69,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
2021,SH_HIV_INCDAS,Број,Непознато,Оба пола или без подјеле по полу,,,,,,,,,,,0.0
