Year,SERIES,UNIT_MEASURE,Pol,Starost,COMPOSITE_BREAKDOWN,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Value
2009.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,0.0
2010.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,0.0
2011.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,1.0
2012.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,2.0
2013.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,0.0
2014.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,0.0
2015.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,1.0
2016.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,0.0
2017.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,1.0
2018.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,0.0
2019.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,1.0
2020.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,0.0
2021.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Seksualna eksploatacija,,,,,0.0
2009.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2010.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2011.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2012.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2013.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2014.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2015.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2016.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2017.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2018.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2019.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2020.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,1.0
2021.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Prisilno zaključenje braka,,,,,0.0
2009.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2010.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2011.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2012.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2013.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2014.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2015.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2016.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,1.0
2017.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2018.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2019.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2020.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2021.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,Nepoznato,,,,,0.0
2009.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.0
2010.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.0
2011.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.1
2012.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.2
2013.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.0
2014.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.0
2015.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.1
2016.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.1
2017.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.1
2018.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.0
2019.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.1
2020.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.1
2021.0,Broj žrtava trgovine ljudima na 100 000 stanovnika,Na 100 000 stanovnika,,,,,,,,0.0
,,,,,,,,,,
