Year,SERIES,UNIT_MEASURE,Pol,Stepen urbanizacije,AGE,Nivo obrazovanja,COMPOSITE_BREAKDOWN,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Value
2014,SE_ADT_ACTSI,Procenat,Žene,,,,,,,,,,,,,,36.3
2015,SE_ADT_ACTSI,Procenat,Žene,,,,,,,,,,,,,,40.3
2016,SE_ADT_ACTSI,Procenat,Žene,,,,,,,,,,,,,,40.2
2017,SE_ADT_ACTSI,Procenat,Žene,,,,,,,,,,,,,,61.8
2018,SE_ADT_ACTSI,Procenat,Žene,,,,,,,,,,,,,,69.3
2019,SE_ADT_ACTSI,Procenat,Žene,,,,,,,,,,,,,,70.4
2020,SE_ADT_ACTSI,Procenat,Žene,,,,,,,,,,,,,,70.5
2021,SE_ADT_ACTSI,Procenat,Žene,,,,,,,,,,,,,,78.2
2014,SE_ADT_ACTSI,Procenat,,Urbano,,,,,,,,,,,,,55.4
2015,SE_ADT_ACTSI,Procenat,,Urbano,,,,,,,,,,,,,54.9
2016,SE_ADT_ACTSI,Procenat,,Urbano,,,,,,,,,,,,,53.8
2017,SE_ADT_ACTSI,Procenat,,Urbano,,,,,,,,,,,,,73.2
2018,SE_ADT_ACTSI,Procenat,,Urbano,,,,,,,,,,,,,78.0
2019,SE_ADT_ACTSI,Procenat,,Urbano,,,,,,,,,,,,,80.8
2020,SE_ADT_ACTSI,Procenat,,Urbano,,,,,,,,,,,,,75.1
2021,SE_ADT_ACTSI,Procenat,,Urbano,,,,,,,,,,,,,85.2
2014,SE_ADT_ACTSI,Procenat,,Ostalo,,,,,,,,,,,,,26.6
2015,SE_ADT_ACTSI,Procenat,,Ostalo,,,,,,,,,,,,,36.1
2016,SE_ADT_ACTSI,Procenat,,Ostalo,,,,,,,,,,,,,35.9
2017,SE_ADT_ACTSI,Procenat,,Ostalo,,,,,,,,,,,,,59.5
2018,SE_ADT_ACTSI,Procenat,,Ostalo,,,,,,,,,,,,,66.8
2019,SE_ADT_ACTSI,Procenat,,Ostalo,,,,,,,,,,,,,66.5
2020,SE_ADT_ACTSI,Procenat,,Ostalo,,,,,,,,,,,,,71.3
2021,SE_ADT_ACTSI,Procenat,,Ostalo,,,,,,,,,,,,,77.1
2014,SE_ADT_ACTSI,Procenat,,,Y16T24,,,,,,,,,,,,91.3
2015,SE_ADT_ACTSI,Procenat,,,Y16T24,,,,,,,,,,,,90.5
2016,SE_ADT_ACTSI,Procenat,,,Y16T24,,,,,,,,,,,,90.9
2017,SE_ADT_ACTSI,Procenat,,,Y16T24,,,,,,,,,,,,97.3
2018,SE_ADT_ACTSI,Procenat,,,Y16T24,,,,,,,,,,,,97.5
2019,SE_ADT_ACTSI,Procenat,,,Y16T24,,,,,,,,,,,,100.0
2020,SE_ADT_ACTSI,Procenat,,,Y16T24,,,,,,,,,,,,100.0
2021,SE_ADT_ACTSI,Procenat,,,Y16T24,,,,,,,,,,,,100.0
2014,SE_ADT_ACTSI,Procenat,,,Y25T34,,,,,,,,,,,,77.5
2015,SE_ADT_ACTSI,Procenat,,,Y25T34,,,,,,,,,,,,78.9
2016,SE_ADT_ACTSI,Procenat,,,Y25T34,,,,,,,,,,,,80.9
2017,SE_ADT_ACTSI,Procenat,,,Y25T34,,,,,,,,,,,,93.0
2018,SE_ADT_ACTSI,Procenat,,,Y25T34,,,,,,,,,,,,96.8
2019,SE_ADT_ACTSI,Procenat,,,Y25T34,,,,,,,,,,,,98.7
2020,SE_ADT_ACTSI,Procenat,,,Y25T34,,,,,,,,,,,,100.0
2021,SE_ADT_ACTSI,Procenat,,,Y25T34,,,,,,,,,,,,99.6
2014,SE_ADT_ACTSI,Procenat,,,Y35T44,,,,,,,,,,,,66.8
2015,SE_ADT_ACTSI,Procenat,,,Y35T45,,,,,,,,,,,,68.4
2016,SE_ADT_ACTSI,Procenat,,,Y35T46,,,,,,,,,,,,64.5
2017,SE_ADT_ACTSI,Procenat,,,Y35T47,,,,,,,,,,,,82.7
2018,SE_ADT_ACTSI,Procenat,,,Y35T48,,,,,,,,,,,,94.3
2019,SE_ADT_ACTSI,Procenat,,,Y35T49,,,,,,,,,,,,91.7
2020,SE_ADT_ACTSI,Procenat,,,Y35T50,,,,,,,,,,,,100.0
2021,SE_ADT_ACTSI,Procenat,,,Y35T51,,,,,,,,,,,,95.2
2014,SE_ADT_ACTSI,Procenat,,,Y45T54,,,,,,,,,,,,44.9
2015,SE_ADT_ACTSI,Procenat,,,Y45T54,,,,,,,,,,,,48.3
2016,SE_ADT_ACTSI,Procenat,,,Y45T54,,,,,,,,,,,,47.6
2017,SE_ADT_ACTSI,Procenat,,,Y45T54,,,,,,,,,,,,73.4
2018,SE_ADT_ACTSI,Procenat,,,Y45T54,,,,,,,,,,,,85.6
2019,SE_ADT_ACTSI,Procenat,,,Y45T54,,,,,,,,,,,,82.3
2020,SE_ADT_ACTSI,Procenat,,,Y45T54,,,,,,,,,,,,94.7
2021,SE_ADT_ACTSI,Procenat,,,Y45T54,,,,,,,,,,,,93.4
2014,SE_ADT_ACTSI,Procenat,,,Y55T64,,,,,,,,,,,,20.2
2015,SE_ADT_ACTSI,Procenat,,,Y55T64,,,,,,,,,,,,28.5
2016,SE_ADT_ACTSI,Procenat,,,Y55T64,,,,,,,,,,,,27.7
2017,SE_ADT_ACTSI,Procenat,,,Y55T64,,,,,,,,,,,,46.0
2018,SE_ADT_ACTSI,Procenat,,,Y55T64,,,,,,,,,,,,60.1
2019,SE_ADT_ACTSI,Procenat,,,Y55T64,,,,,,,,,,,,65.0
2020,SE_ADT_ACTSI,Procenat,,,Y55T64,,,,,,,,,,,,71.6
2021,SE_ADT_ACTSI,Procenat,,,Y55T64,,,,,,,,,,,,78.0
2014,SE_ADT_ACTSI,Procenat,,,Y65T74,,,,,,,,,,,,6.1
2015,SE_ADT_ACTSI,Procenat,,,Y65T74,,,,,,,,,,,,11.4
2016,SE_ADT_ACTSI,Procenat,,,Y65T74,,,,,,,,,,,,10.3
2017,SE_ADT_ACTSI,Procenat,,,Y65T74,,,,,,,,,,,,24.7
2018,SE_ADT_ACTSI,Procenat,,,Y65T74,,,,,,,,,,,,30.8
2019,SE_ADT_ACTSI,Procenat,,,Y65T74,,,,,,,,,,,,40.0
2020,SE_ADT_ACTSI,Procenat,,,Y65T74,,,,,,,,,,,,36.3
2021,SE_ADT_ACTSI,Procenat,,,Y65T74,,,,,,,,,,,,54.3
2014,SE_ADT_ACTSI,Procenat,,,,Niže od srednjeg,,,,,,,,,,,8.9
2015,SE_ADT_ACTSI,Procenat,,,,Niže od srednjeg,,,,,,,,,,,9.7
2016,SE_ADT_ACTSI,Procenat,,,,Niže od srednjeg,,,,,,,,,,,17.7
2017,SE_ADT_ACTSI,Procenat,,,,Niže od srednjeg,,,,,,,,,,,43.1
2018,SE_ADT_ACTSI,Procenat,,,,Niže od srednjeg,,,,,,,,,,,39.3
2019,SE_ADT_ACTSI,Procenat,,,,Niže od srednjeg,,,,,,,,,,,40.2
2020,SE_ADT_ACTSI,Procenat,,,,Niže od srednjeg,,,,,,,,,,,39.0
2021,SE_ADT_ACTSI,Procenat,,,,Niže od srednjeg,,,,,,,,,,,50.1
2014,SE_ADT_ACTSI,Procenat,,,,Srednje,,,,,,,,,,,48.4
2015,SE_ADT_ACTSI,Procenat,,,,Srednje,,,,,,,,,,,52.5
2016,SE_ADT_ACTSI,Procenat,,,,Srednje,,,,,,,,,,,54.8
2017,SE_ADT_ACTSI,Procenat,,,,Srednje,,,,,,,,,,,74.0
2018,SE_ADT_ACTSI,Procenat,,,,Srednje,,,,,,,,,,,80.4
2019,SE_ADT_ACTSI,Procenat,,,,Srednje,,,,,,,,,,,79.4
2020,SE_ADT_ACTSI,Procenat,,,,Srednje,,,,,,,,,,,80.9
2021,SE_ADT_ACTSI,Procenat,,,,Srednje,,,,,,,,,,,85.1
2014,SE_ADT_ACTSI,Procenat,,,,Više i visoko,,,,,,,,,,,74.9
2015,SE_ADT_ACTSI,Procenat,,,,Više i visoko,,,,,,,,,,,81.1
2016,SE_ADT_ACTSI,Procenat,,,,Više i visoko,,,,,,,,,,,79.4
2017,SE_ADT_ACTSI,Procenat,,,,Više i visoko,,,,,,,,,,,93.0
2018,SE_ADT_ACTSI,Procenat,,,,Više i visoko,,,,,,,,,,,98.3
2019,SE_ADT_ACTSI,Procenat,,,,Više i visoko,,,,,,,,,,,95.6
2020,SE_ADT_ACTSI,Procenat,,,,Više i visoko,,,,,,,,,,,94.3
2021,SE_ADT_ACTSI,Procenat,,,,Više i visoko,,,,,,,,,,,95.4
2014,SE_ADT_ACTSI,Procenat,,,,,Studenti,,,,,,,,,,88.4
2015,SE_ADT_ACTSI,Procenat,,,,,Studenti,,,,,,,,,,100.0
2016,SE_ADT_ACTSI,Procenat,,,,,Studenti,,,,,,,,,,95.9
2017,SE_ADT_ACTSI,Procenat,,,,,Studenti,,,,,,,,,,98.5
2018,SE_ADT_ACTSI,Procenat,,,,,Studenti,,,,,,,,,,100.0
2019,SE_ADT_ACTSI,Procenat,,,,,Studenti,,,,,,,,,,100.0
2020,SE_ADT_ACTSI,Procenat,,,,,Studenti,,,,,,,,,,100.0
2021,SE_ADT_ACTSI,Procenat,,,,,Studenti,,,,,,,,,,100.0
2014,SE_ADT_ACTSI,Procenat,,,,,Zaposleni,,,,,,,,,,68.7
2015,SE_ADT_ACTSI,Procenat,,,,,Zaposleni,,,,,,,,,,75.7
2016,SE_ADT_ACTSI,Procenat,,,,,Zaposleni,,,,,,,,,,68.6
2017,SE_ADT_ACTSI,Procenat,,,,,Zaposleni,,,,,,,,,,86.4
2018,SE_ADT_ACTSI,Procenat,,,,,Zaposleni,,,,,,,,,,94.0
2019,SE_ADT_ACTSI,Procenat,,,,,Zaposleni,,,,,,,,,,92.2
2020,SE_ADT_ACTSI,Procenat,,,,,Zaposleni,,,,,,,,,,97.1
2021,SE_ADT_ACTSI,Procenat,,,,,Zaposleni,,,,,,,,,,96.5
2014,SE_ADT_ACTSI,Procenat,,,,,Nezaposleni,,,,,,,,,,34.9
2015,SE_ADT_ACTSI,Procenat,,,,,Nezaposleni,,,,,,,,,,44.4
2016,SE_ADT_ACTSI,Procenat,,,,,Nezaposleni,,,,,,,,,,40.9
2017,SE_ADT_ACTSI,Procenat,,,,,Nezaposleni,,,,,,,,,,64.4
2018,SE_ADT_ACTSI,Procenat,,,,,Nezaposleni,,,,,,,,,,74.9
2019,SE_ADT_ACTSI,Procenat,,,,,Nezaposleni,,,,,,,,,,68.0
2020,SE_ADT_ACTSI,Procenat,,,,,Nezaposleni,,,,,,,,,,79.0
2021,SE_ADT_ACTSI,Procenat,,,,,Nezaposleni,,,,,,,,,,84.5
2014,SE_ADT_ACTSI,Procenat,,,,,Ostalo,,,,,,,,,,13.3
2015,SE_ADT_ACTSI,Procenat,,,,,Ostalo,,,,,,,,,,17.8
2016,SE_ADT_ACTSI,Procenat,,,,,Ostalo,,,,,,,,,,17.7
2017,SE_ADT_ACTSI,Procenat,,,,,Ostalo,,,,,,,,,,31.3
2018,SE_ADT_ACTSI,Procenat,,,,,Ostalo,,,,,,,,,,42.4
2019,SE_ADT_ACTSI,Procenat,,,,,Ostalo,,,,,,,,,,52.7
2020,SE_ADT_ACTSI,Procenat,,,,,Ostalo,,,,,,,,,,47.9
2021,SE_ADT_ACTSI,Procenat,,,,,Ostalo,,,,,,,,,,65.3
