Year,SERIES,UNIT_MEASURE,Pol,Value
2010,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,191.4
2011,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,236.2
2012,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,247.2
2013,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,246.9
2014,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,255.0
2015,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,229.5
2016,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,233.1
2017,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,225.8
2018,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,216.8
2019,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,203.6
2020,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,207.9
2021,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Muškarci,194.4
2009,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,102.5
2010,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,99.8
2011,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,123.4
2012,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,120.4
2013,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,130.5
2014,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,133.2
2015,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,139.1
2016,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,124.9
2017,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,127.7
2018,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,109.3
2019,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,114.2
2020,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,105.8
2021,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom",Broj umrlih na 100 000 stanovnika mlađih od 65 godina,Žene,99.6
