Year,SERIES,UNIT_MEASURE,Pol,Starost,Value
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,17219.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,17219.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,20286.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,23048.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,25127.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,25944.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,26394.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,27774.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,28270.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,29691.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,8008.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,8008.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,9264.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,10465.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,11383.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,11987.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,12123.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,12813.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,12419.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,13673.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,9211.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,9211.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,11022.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,12581.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,13744.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,13957.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,14271.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,14961.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,15851.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,16018.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Broj djece,1849.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Broj djece,1849.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Broj djece,1501.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Broj djece,1272.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Broj djece,1492.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Broj djece,2022.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Broj djece,1538.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Broj djece,1689.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Broj djece,1982.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Oba pola ili bez podjele po polu,Broj djece,2021.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Broj djece,937.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Broj djece,937.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Broj djece,848.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Broj djece,718.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Broj djece,905.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Broj djece,1129.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Broj djece,919.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Broj djece,1010.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Broj djece,1189.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Muškarci,Broj djece,1220.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Broj djece,912.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Broj djece,912.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Broj djece,653.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Broj djece,554.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Broj djece,587.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Broj djece,893.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Broj djece,619.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Broj djece,679.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Broj djece,793.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Broj,Žene,Broj djece,801.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,333.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,333.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,432.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,410.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,339.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,349.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,382.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,239.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,223.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,248.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,199.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,199.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,248.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,235.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,186.0
