Year,SERIES,UNIT_MEASURE,Starost,COMPOSITE_BREAKDOWN,Value
2017,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,51.0
2018,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,51.0
2019,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,52.0
2020,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,52.0
2021,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,52.0
2009,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,41.0
2010,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,41.0
2011,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,41.5
2012,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,41.6
2013,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,43.5
2014,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,37.5
2015,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,38.6
2016,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,35.0
2017,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,34.5
2018,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,34.5
2019,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,34.4
2020,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,33.4
2021,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,33.5
2009,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,34.8
2010,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,35.5
2011,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,36.0
2012,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,36.6
2013,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,38.5
2014,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,32.7
2015,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,33.5
2016,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,29.8
2017,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,29.4
2018,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,29.4
2019,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,29.1
2020,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,28.2
2021,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,28.3
2009,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,6.2
2010,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,5.5
2011,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,5.6
2012,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,5.1
2013,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,5.0
2014,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,4.9
2015,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,5.1
2016,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,5.2
2017,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,5.1
2018,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,5.1
2019,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,5.3
2020,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,5.2
2021,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,5.2
2009,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,42.6
2010,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,42.7
2011,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,43.4
2012,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,43.5
2013,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,45.4
2014,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,39.1
2015,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,40.1
2016,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,36.3
2017,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,35.8
2018,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,35.7
2019,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,35.6
2020,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,35.9
2021,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,36.1
2009,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,36.1
2010,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,37.0
2011,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,37.5
2012,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,38.2
2013,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,40.2
2014,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,34.0
2015,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,34.9
2016,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,30.9
2017,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,30.5
2018,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,30.4
2019,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,30.1
2020,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,30.4
2021,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,30.5
2009,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,6.5
2010,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.7
2011,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.8
2012,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.3
2013,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.2
2014,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.1
2015,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.3
2016,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.4
2017,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.3
2018,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.3
2019,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.4
2020,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.6
2021,a. Broj filijala komercijalnih banaka,Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,5.6
2009,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,312.0
2010,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,319.0
2011,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,356.0
2012,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,374.0
2013,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,416.0
2014,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,420.0
2015,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,450.0
2016,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,455.0
2017,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,469.0
2018,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,492.0
2019,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,504.0
2020,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,511.0
2021,b. Broj automatizovanih bankomata (ATM),Broj,,Ukupno banke koje posluju u Republici Srpskoj,521.0
2009,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,240.0
2010,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,247.0
2011,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,278.0
2012,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,299.0
2013,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,339.0
2014,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,344.0
2015,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,365.0
2016,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,362.0
2017,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,365.0
2018,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,383.0
2019,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,392.0
2020,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,394.0
2021,b. Broj automatizovanih bankomata (ATM),Broj,,Banke Republike Srpske,405.0
2009,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,72.0
2010,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,72.0
2011,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,78.0
2012,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,75.0
2013,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,77.0
2014,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,76.0
2015,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,85.0
2016,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,93.0
2017,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,104.0
2018,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,109.0
2019,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,112.0
2020,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,117.0
2021,b. Broj automatizovanih bankomata (ATM),Broj,,Banke FBiH u Republici Srpskoj,116.0
2009,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,31.3
2010,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,31.9
2011,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,35.6
2012,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,37.3
2013,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,41.4
2014,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,41.8
2015,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,44.9
2016,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,45.5
2017,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,47.0
2018,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,49.5
2019,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,50.9
2020,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,50.8
2021,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Ukupno banke koje posluju u Republici Srpskoj,51.8
2009,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,24.1
2010,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,24.7
2011,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,27.8
2012,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,29.8
2013,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,33.7
2014,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,34.3
2015,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,36.4
2016,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,36.2
2017,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,36.6
2018,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,38.5
2019,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,39.6
2020,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,39.2
2021,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke Republike Srpske,40.3
2009,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,7.2
2010,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,7.2
2011,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,7.8
2012,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,7.5
2013,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,7.7
2014,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,7.6
2015,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,8.5
2016,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,9.3
2017,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,10.4
2018,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,11.0
2019,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,11.3
2020,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,11.6
2021,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,15 godina i više,Banke FBiH u Republici Srpskoj,11.5
2009,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,32.5
2010,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,33.2
2011,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,37.1
2012,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,38.9
2013,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,43.2
2014,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,43.6
2015,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,46.7
2016,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,47.2
2017,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,48.7
2018,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,51.3
2019,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,52.7
2020,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,54.7
2021,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Ukupno banke koje posluju u Republici Srpskoj,55.7
2009,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,25.0
2010,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,25.7
2011,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,29.0
2012,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,31.1
2013,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,35.2
2014,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,35.7
2015,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,37.9
2016,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,37.6
2017,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,37.9
2018,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,39.9
2019,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,41.0
2020,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,42.2
2021,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke Republike Srpske,43.3
2009,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,7.5
2010,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,7.5
2011,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,8.1
2012,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,7.8
2013,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,8.0
2014,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,7.9
2015,b. Broj automatizovanih bankomata (ATM),Na 100 000 odraslih stanovnika,18 godina i više,Banke FBiH u Republici Srpskoj,8.8
