Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
EN_H2O_WQPT,Average annual values of total phosphorus in a river water (total P) - Trebišnjica River Basin (District) (g/m3),Prosječne godišnje vrijednosti ukupnog fosfora u rijekama (ukupni P)  - oblasni riječni sliv (distrikt) rijeke Trebišnjice (g/m3),Просјечне годишње вриједности укупног фосфора у ријекама  (укупни P) - обласни ријечни слив (дистрикт) ријеке Требишњице (g/m3),2,1
EN_LND_DWPDAMP,Households’ problems with the dwelling - damp walls/floors/foundations,"Problemi domaćinstva sa stambenom jedinicom - vlaga u podovima, zidovima, temeljima","Проблеми домаћинства са стамбеном јединицом - влага у подовима, зидовима, темељима",1,1
EN_LND_DWPDW,Households’ problems with the dwelling - rotten window frames or doors,Problemi domaćinstva sa stambenom jedinicom - truli prozorski okviri ili vrata,Проблеми домаћинства са стамбеном јединицом - трули прозорски оквири или врата,1,1
EN_LND_DWPNOISE,Households’ problems with the dwelling - noise,Problemi domaćinstva sa stambenom jedinicom - imaju probleme sa bukom,Проблеми домаћинства са стамбеном јединицом - имају проблеме са буком,1,1
EN_LND_DWPROOF,Households’ problems with the dwelling - leaking roof,Problemi domaćinstva sa stambenom jedinicom - krov prokišnjava,Проблеми домаћинства са стамбеном јединицом - кров прокишњава,1,1
EN_REF_WASDELT,Municipal waste delivered for treatment,Komunalni otpad predat na preradu,Комунални отпад предат на прераду,1,1
EN_REF_WASGENT,Total generated municipal waste,Ukupno proizvedeni komunalni otpad,Укупно произведени комунални отпад,1,1
EN_REF_WASTSHR,Share of treated municipal waste,Udio prerađenog komunalnog otpada,Удио прерађеног комуналног отпада,1,1
EN_WWT_TREATMUN,Treated municipal wastewater (thous. m3),Tretirane otpadne komunalne vode (hilj. m3),Третиране отпадне комуналне воде (хиљ. m3),1,1
EN_WWT_TREATPOP,Population connected to at least secondary wastewater treatment (%),Stanovništvo priključeno na prečistače otpadnih komunalnih voda sa najmanje sekundarnim tretmanom (%),Становништво прикључено на пречистаче отпадних комуналних вода са најмање секундарним третманом (%),1,1
ER_PTD_FRHWTREC,Freshwater ecosystems,Slatkovodni ekosistemi,Слатководни екосистеми,2,1
ER_PTD_MTNEC,Mountain ecosystems,Planinski ekosistemi,Планински екосистеми,2,1
ER_PTD_TERREC,Terrestrial ecosystems,Kopneni ekosistemi,Копнени екосистеми,2,1
ER_RSK_LSTEDS,List of endangered species,Lista ugroženih vrsta,Листа угрожених врста,7,1
FB_ATM_TOTL,b. Number of automated teller machines (ATMs),b. Broj automatizovanih bankomata (ATM),б. Број аутоматизованих банкомата (АТМ),9,1
FB_CBK_BRCH,a. Number of commercial bank branches,a. Broj filijala komercijalnih banaka,а. Број филијала комерцијалних банака,9,1
FI_FSI_FSANL,NPLs to total loans (%),NPL prema ukupnim kreditima (%),НПЛ према укупним кредитима (%),1,1
FI_FSI_FSERA,ROA (%),Povrat na aktivu (ROA) (%),Поврат на активу (РОА) (%),1,1
FI_FSI_FSERSC,ROE (%),Povrat na dionički kapital (%),Поврат на дионички капитал (%),1,1
FI_FSI_FSFCLI,Forex liabilities to total liabilities (%),Obaveze u stranoj valuti prema ukupnim obavezama (%),Обавезе у страној валути према укупним обавезама (%),1,1
FI_FSI_FSINOIRE,Non-interest expenses to gross income (%),Nekamatni rashodi prema ukupnom prihodu (%),Некаматни расходи према укупном приходу (%),1,1
FI_FSI_FSINTIRI,Net interest income to gross income (%),Neto kamatni prihod prema ukupnom prihodu (%),Нето каматни приход према укупном приходу (%),1,1
FI_FSI_FSKA,Capital to assets (%),Kapital prema aktivi (%),Капитал према активи (%),1,1
FI_FSI_FSKNL,NPLs net of provisions to Tier 1 (%),Nekvalitetni krediti umanjeni za rezervisanja prema osnovnom kapitalu (%),Неквалитетни кредити умањени за резервисања према основном капиталу (%),1,1
FI_FSI_FSKRTC,Tier 1 capital to total risk exposure amount (%),Osnovni kapital prema ukupnom iznosu izloženosti riziku (%),Основни капитал према укупном износу изложености ризику (%),1,1
FI_FSI_FSLDC,Deposits to loans (%),Depoziti prema kreditima umanjenim za međubankarske kredite (%),Депозити према кредитима умањеним за међубанкарске кредите (%),1,1
FI_FSI_FSLS,Liquid assets to short-term financial liabilities (%),Likvidna sredstva prema kratkoročnim finansijskim obavezama (%),Ликвидна средства према краткорочним финансијским обавезама (%),1,1
FI_FSI_FSLSTA,Liquid assets to total assets (%),Likvidna sredstva prema ukupnoj aktivi (%),Ликвидна средства према укупној активи (%),1,1
FI_FSI_FSNPA,NPAs to total assets (%),NPA prema ukupnoj aktivi (%),НПА према укупној активи (%),1,1
FI_FSI_FSNPALC,NPAs net of provisions to Tier 1 (%),Nekvalitetna aktiva umanjena za rezervisanja prema osnovnom kapitalu (%),Неквалитетна актива умањена за резервисања према основном капиталу (%),1,1
FI_FSI_FSRCER,Own funds to total risk exposure amount (%),Regulatorni kapital prema ukupnom iznosu izloženosti riziku (%),Регулаторни капитал према укупном износу изложености ризику (%),1,1
FI_FSI_FSSFCLN,Forex and indexed loans to total loans (%),Krediti u stranoj valuti i krediti sa valutnom klauzulom prema ukupnim kreditima (%),Кредити у страној валути и кредити са валутном клаузулом према укупним кредитима (%),1,1
FI_FSI_FSSNO,Net open position (%),Neto otvorena pozicija (%),Нето отворена позиција (%),1,1
FI_FSI_FSSTL,Short-term financial liabilities to total financial liabilities (%),Kratkoročne finansijske obaveze prema ukupnim obavezama (%),Краткорочне финансијске обавезе према укупним обавезама (%),1,1
GB_POP_SCIERD,Researchers (in full-time equivalent) per million inhabitants,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Истраживачи (у еквиваленту пуног радног времена) на милион становника,1,1
GB_XPD_RSDSEC,"Gross domestic expenditure on research and development, by sector",Bruto domaći izdaci za istraživanje i razvoj prema sektorima,Бруто домаћи издаци за истраживање и развој према секторима,5,1
GB_XPD_RSDV,Research and development expenditure as a proportion of GDP (%),Učešće izdataka za istraživanje i razvoj u ukupnom BDP-u (%),Учешће издатака за истраживање и развој у укупном БДП-у (%),1,1
IS_RDP_FRGVOL,Volume of goods transport,Obim prevoza robe,Обим превоза робе,6,1
IS_RDP_PFVOL,Volume of passenger transport,Obim prevoza putnika,Обим превоза путника,6,1
IT_USE_LTMN,Percentage of individuals aged 16–74 years who used the Internet in the last three months,Procenat lica starosti 16–74 godine koja su koristila internet u posljednja tri mjeseca,Проценат лица старости 16–74 године која су користила интернет у посљедња три мјесеца,1,1
NV_IND_MANF,"Manufacturing value added as a proportion of GDP, current prices (%)","Učešće bruto dodate vrijednosti prerađivačke industrije u BDP-u, tekuće cijene (%)","Учешће бруто додате вриједности прерађивачке индустрије у БДП-у, текуће цијене (%)",1,1
NV_IND_SSIS,Proportion of small-scale industries in total industry value added,Udio malih industrija u ukupnoj dodanoj vrijednosti industrije,Удио малих индустрија у укупној додатој вриједности индустрије,1,1
SE_ADT_ACTSI,Percentage of persons aged 16–74 years who used the Internet in the last three months,Procenat lica starosti 16–74 godine koja su koristila internet u posljednja tri mjeseca,Проценат лица старости 16–74 године која су користила интернет у посљедња три мјесеца,25,1
SE_ADT_ACTSPC,Percentage of persons aged 16–74 years who used a computer in the last three months,Procenat lica starosti 16–74 godine koja su koristila računar u posljednja tri mjeseca,Проценат лица старости 16–74 године која су користила рачунар у посљедња три мјесеца,1,1
SE_ADT_EDUCTRN,Participation rate in formal and non-formal education and training,Stopa učešća u formalnom i neformalnom obrazovanju i obuci,Стопа учешћа одраслих у формалном и неформалном образовању и обуци,3,1
SE_DEV_ONTRK,"Early childhood development index - percentage of children aged 36–59 months who are developmentally on track in at least three of the following domains: literacy, numeracy, physical development, social and emotional development, and learning","Indeks ranog rasta i razvoja djece - procenat djece uzrasta 36–59 mjeseci koja su dostigla očekivani razvoj u bar tri sljedeća domena: pismenost, poznavanje brojeva, fizički razvoj, socijalno-emocionalni razvoj i učenje","Индекс раног раста и развоја дјеце - проценат дјеце узраста 36–59 мјесеци која су достигла очекивани развој у бар три сљедећа домена: писменост, познавање бројева, физички развој, социјално-емоционални развој и учење",5,1
SE_PRE_PARTN,Percentage of children aged five years participating in a preschool education and upbringing programme prior to the start of primary school,Procenat djece uzrasta pet godina obuhvaćene programom predškolskog vaspitanja i obrazovanja pred polazak u školu,Проценат дјеце узраста пет година обухваћене програмом предшколског васпитања и образовања пред полазак у школу,7,1
SG_GEN_LPARL,"Proportion of seats held by women in city/municipal assemblies, according to the results of the Local Election","Procenat žena među odbornicima skupština opština i gradova, prema rezultatima Lokalnih izbora","Проценат жена међу одборницима скупштина општина и градова, према резултатима локалних избора",1,1
SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),Udio mjesta koje imaju žene u nacionalnim parlamentima (% od ukupnog broja mjesta),Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),1,1
SG_GEN_PARLN,Current number of seats in national parliaments (number),Broj mjesta koje imaju žene u nacionalnim parlamentima,Број мјеста које имају жене у националним парламентима,1,1
SG_GEN_PARLNT,Number of seats in national parliaments,Trenutni broj mjesta u nacionalnim parlamentima (broj),Тренутни број мјеста у националним парламентима (број),1,1
SG_LGL_GENEQEMP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 3: employment and economic benefits","Pravni okviri koji promovišu, sprovode i prate ravnopravnost i zabranu diskriminacije po osnovu pola (procenat postignuća, 0-100) - Oblast 3: Zaposlenost i ekonomske koristi","Правни оквири који промовишу, спроводе и прате равноправност и забрану дискриминације по основу пола (проценат постигнућа, 0-100) - Област 3: Запосленост и економске користи",1,1
SG_LGL_GENEQLFP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 1: overarching legal frameworks and public life","Pravni okviri koji promovišu, sprovode i prate ravnopravnost i zabranu diskriminacije po osnovu pola (procenat postignuća, 0-100) - Oblast 1: Sveobuhvatni pravni okviri i javni život","Правни оквири који промовишу, спроводе и прате равноправност и забрану дискриминације по основу пола (проценат постигнућа, 0-100) - Област 1: Свеобухватни правни оквири и јавни живот",1,1
SG_LGL_GENEQMAR,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 4: marriage and family","Pravni okviri koji promovišu, sprovode i prate ravnopravnost i zabranu diskriminacije po osnovu pola (procenat postignuća, 0-100) - Oblast 4: Brak i porodica","Правни оквири који промовишу, спроводе и прате равноправност и забрану дискриминације по основу пола (проценат постигнућа, 0-100) - Област 4: Брак и породица",1,1
SG_LGL_GENEQVAW,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 2: violence against women","Pravni okviri koji promovišu, sprovode i prate ravnopravnost i zabranu diskriminacije po osnovu pola (procenat postignuća, 0-100) - Oblast 2: Nasilje nad ženama","Правни оквири који промовишу, спроводе и прате равноправност и забрану дискриминације по основу пола (проценат постигнућа, 0-100) - Област 2: Насиље над женама",1,1
SH_DTH_NCOM,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom","Стопа смртности узрокована кардиоваскуларним болестима, раком, дијабетесом или хроничном респираторном болешћу",3,1
SH_DYN_MORT,Under-five mortality rate,Stopa smrtnosti ispod pet godina,Стопа смртности испод пет година,1,1
SH_DYN_NMRT,Neonatal mortality rate,Stopa neonatalnog mortaliteta,Стопа неонаталног морталитета,1,1
SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,"Procenat udatih žena ili žena u zajednici, starosti 15–49 godina, koje koriste (ili čiji partner koristi) neku od savremenih metoda kontracepcije, 2006. i 2011–2012.","Проценат удатих жена или жена у заједници, старости 15–49 година, које користе (или чији партнер користи) неку од савремених метода контрацепције, 2006. и 2011–2012.",1,1
SH_H2O_SAFE_CTAP,Percentage of households supplied with running water from the tap – common faucet up to 200 m away,"Procenat domaćinstava koja se snabdijevaju tekućom vodom iz zajedničke česme, udaljene do 200 m od kuće","Проценат домаћинстава која се снабдијевају текућом водом из заједничке чесме, удаљена до 200 m од куће",1,1
SH_H2O_SAFE_OTH,Percentage of households supplied with water from other sources,Procenat domaćinstava koja se snabdijevaju vodom iz ostalih izvora,Проценат домаћинстава која се снабдијевају водом из осталих извора,1,1
SH_H2O_SAFE_RWDW,Percentage of households with running water in the dwelling unit,Procenat domaćinstava sa tekućom vodom u stambenoj jedinici,Проценат домаћинстава са текућом водом у стамбеној јединици,1,1
SH_H2O_SAFE_SPSRS,"Percentage of households supplied with water from separate source well, faucet)","Procenat domaćinstava koja se snabdijevaju vodom iz pojedinačnog izvora (bunar, stojeća česma)","Проценат домаћинстава која се снабдијевају водом из појединачног извора (бунар, стојећа чесма)",1,1
SH_HAP_HBSAGINC,"Hepatitis B incidence (per 100,000 population)",Incidencija hepatitisa B (na 100 000 stanovnika),Инциденција хепатитиса Б (на 100 000 становника),1,1
SH_HIV_INCDA,"HIV incidence per 100,000 population",Incidencija HIV-a na 100 000 stanovnika,Инциденција ХИВ-а на 100 000 становника,1,1
SH_HIV_INCDAS,Number of registered cases of HIV infection during the year,Broj prijavljenih HIV pozitivnih u toku godine,Број пријављених ХИВ позитивних у току године,9,1
SH_PRV_SMOKA,Percentage of daily smokers among the population,Procenat svakodnevnih pušača među stanovništvom,Проценат свакодневних пушача међу становништвом,4,1
SH_PRV_SMOKC,Percentage of smokers among children aged 13–15 years,Procenat pušača među djecom starosti 13–15 godina,Проценат пушача међу дјецом старости 13–15 година,1,1
SH_SAN_SAFEHH_BATH,Proportion of households owning a bathroom with a WC in the main dwelling unit,Procenat domaćinstava koja u glavnoj stambenoj jedinici posjeduju kupatilo s WC-om,Проценат домаћинстава која у главној стамбеној јединици посједују купатило са WC-ом,3,1
SH_SAN_SAFEHH_WC,Proportion of households owning a WC in the main dwelling unit,Procenat domaćinstava koja u glavnoj stambenoj jedinici posjeduju WC,Проценат домаћинстава која у главној стамбеној јединици посједују WC,3,1
SH_STA_BRTC,Proportion of births attended by skilled health personnel,Udio poroda uz prisustvo kvalifikovanih zdravstvenih radnika,Удио порода уз присуство квалификованих здравствених радника,1,1
SH_STA_MALR,"Malaria incidence (per 1,000 population)",Incidencija malarije (na 1 000 stanovnika),Инциденција маларије (на 1 000 становника),1,1
SH_STA_MORT,Maternal mortality ratio,Stopa smrtnosti majki,Стопа смртности мајки,1,1
SH_STA_SCIDE,Suicide mortality rate,Stopa smrtnosti usljed samoubistva,Стопа смртности усљед самоубиства,3,1
SH_STA_SCIDEN,Number of deaths attributed to suicide,Broj smrtnih slučajeva samoubistvom,Број смртних случајева самоубиством,3,1
SH_STA_STNT,Proportion of children moderately or severely stunted,Udio djece umjereno ili ozbiljno zaostale u razvoju,Удио дјеце умјерено или озбиљно заостале у развоју,1,1
SH_STA_TRAF,"Death rate due to road traffic injuries, by sex (per 100,000 population)","Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema polu (na 100.000 stanovnika)","Стопа смртности због повреда у друмском саобраћају, према полу (на 100.000 становника)",1,1
SH_STA_WAST,Proportion of children moderately or severely wasted,Udio djece koja su umjereno ili ozbiljno iscrpljena,Удио дјеце која су умјерено или озбиљно исцрпљена,1,1
SH_SUD_TREATN,Number of persons who received treatment for drug abuse,Broj lica liječenih zbog zloupotrebe opojnih droga,Број лица лијечених због злоупотребе опојних дрога,1,1
SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",Incidencija tuberkuloze (na 100.000 stanovnika),Инциденција туберкулозе (на 100.000 становника),1,1
SI_COV_SOCDC,Number of social protection beneficiaries in daily care,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Број корисника социјалне заштите који остварују право на дневно збрињавање,6,1
SI_COV_SOCDL,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Broj korisnika socijalne zaštite koji ostvaruju pravo na dodatak za pomoć i njegu drugog lica,Број корисника социјалне заштите који остварују право на додатак за помоћ и његу другог лица,6,1
SI_COV_SOCHHLP,Number of social protection beneficiaries receiving in-home care,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Број корисника социјалне заштите који остварују право на помоћ у кући,6,1
SI_COV_SOCHRP,Number of social protection beneficiaries placed in a foster family,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Број корисника социјалне заштите који остварују право на збрињавање у хранитељску породицу,6,1
SI_COV_SOCNP,Number of social protection beneficiaries receiving financial aid,Broj korisnika socijalne zaštite koji ostvaruju pravo na novčanu pomoć,Број корисника социјалне заштите који остварују право на новчану помоћ,3,1
SI_COV_SOCOTFA,Number of social protection beneficiaries receiving one-time financial aid,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Број корисника социјалне заштите који остварују право на једнократну новчану помоћ,6,1
SI_COV_SOCPDPENS,Number of social protection beneficiaries receiving personal disability payment,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Број корисника социјалне заштите који остварују право на личну инвалиднину,6,1
SI_COV_SOCSRAZ,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Број корисника социјалне заштите који остварују право на подршку у изједначавању дјеце и омладине са сметњама у развоју,6,1
SI_COV_SOCSUST,Number of social protection beneficiaries placed in a social protection institution or in another institution,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Број корисника социјалне заштите који остварују право на смјештај у установу социјалне заштите и другу установу,6,1
SI_COV_SOCUSALL,Proportion of the population covered by social protection systems,Udio korisnika socijalne zaštite u ukupnoj populaciji,Удио корисника социјалне заштите у укупној популацији,2,1
SI_COV_SOCUSSA,Number of social protection beneficiaries by sex and age,Broj korisnika socijalne zaštite po polu i starosti,Број корисника социјалне заштите по полу и старости,6,1
SI_POV_50MEHH,SI_POV_50MEHH,SI_POV_50MEHH,SI_POV_50MEHH,1,1
SI_POV_HHD,Proportion of households living below the national poverty line,Udio domaćinstava koja žive ispod nacionalne linije siromaštva,Удио домаћинстава која живе испод националне границе сиромаштва,2,1
SI_POV_HHDA,Poverty headcount by age of household head,Veličina siromaštva po po godinama starosti nosioca domaćinstva,Величина сиромаштва по по годинама старости носиоца домаћинства,5,1
SI_POV_HHDS,Poverty headcount by sex of household head,Veličina siromaštva po polu nosioca domaćinstva,Величина сиромаштва по полу носиоца домаћинства,2,1
SI_POV_NAHC,Proportion of population living below the national poverty line,Udio stanovništva koje živi ispod nacionalne granice siromaštva,Удио становништва које живи испод националне границе сиромаштва,2,1
SL_TLF_UEM,Unemployment rate,Stopa nezaposlenosti,Стопа незапослености,18,1
SN_STA_OVWGT,Proportion of children moderately or severely overweight,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,1,1
SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women in the age group)",Stopa rađanja kod adolescenata (na 1 000 žena iz starosne grupe),Стопа рађања код адолесцената (на 1 000 жена из старосне групе),2,1
SP_LGL_LNDDOC_COHFR,"Co-owners of real estate – land and buildings, ½ ownership ratio",Suvlasnici/ce u omjeru ½ nepokretnosti – zemljišta i objekata,Сувласници/це у омјеру ½ непокретности – земљишта и објеката,3,1
SP_LGL_LNDDOC_COUHFR,"Co-owners of real estate – land and buildings, ownership ratio under ½",Suvlasnici/ce u omjeru manjem od ½ nepokretnosti – zemljišta i objekata,Сувласници/це у омјеру мањем од ½ непокретности – земљишта и објеката,3,1
SP_LGL_LNDDOC_SOLO,Sole owners of real estate – land and buildings,Samostalni vlasnici/ce nepokretnosti – zemljišta i objekata,Самостални власници/це непокретности – земљишта и објеката,3,1
ST_GDP_ZS,"GDP of the section Accommodation and food service activities as a proportion of total GDP, current prices,","Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene","Учешће подручја „Дјелатност пружања смјештаја, припреме и послуживања хране; хотелијерство и угоститељство” у укупном БДП-у, текуће цијене",1,1
ST_TUR_EMP,Number of employed persons in tourism,Broj zaposlenih u turizmu,Број запослених у туризму,3,1
TX_EXP_ECG,Exports from Republika Srpska by economic groupings of countries,Izvoz iz Republike Srpske po ekonomskim grupacijama zemalja,Извоз из Републике Српске по економским групацијама земаља,6,1
TX_IMP_ECG,Imports to Republika Srpska by economic groupings of countries,Uvoz u Republiku Srpsku po ekonomskim grupacijama zemalja,Увоз у Републику Српску по економским групацијама земаља,6,1
VC_HTF_DETCA,Number of trafficking offences,Broj krivičnih djela trgovine ljudima,Број кривичних дјела трговине људима,4,1
VC_HTF_DETV,Number of victims of human trafficking by sex and form of exploitation,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Број жртава кривичних дјела трговине људима према полу и облику експлоатације,7,1
VC_HTF_DETVR,"Number of victims of human trafficking per 100,000 population",Broj žrtava trgovine ljudima na 100 000 stanovnika,Број жртава трговине људима на 100 000 становника,1,1
VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population",Broj žrtava ubistava s namjerom na 100 000 stanovnika,Број жртава убистава с намјером на 100.000 становника,1,1
VC_IHR_PSRCN,Number of victims of intentional homicide,Broj žrtava ubistava s namjerom,Број жртава убистава с намјером,3,1
VC_VAW_MARR12M,"Proportion of women aged 18–74 years subjected to some form of violence by a current or former intimate partner, in the previous 12 months (%)","Udio žena starosti 18–74 godine koje su doživjele neki od oblika nasilja od strane sadašnjeg ili bivšeg partnera, u proteklih 12 mjeseci (%)","Удио жена старости 18–74 године које су доживјеле неки од облика насиља од стране садашњег или бившег партнера, у протеклих 12 мјесеци (%)",3,1
VC_VAW_MARRY15,"Proportion of women aged 18–74 years subjected to some form of violence by a current or former intimate partner, from the age of 15 (%)","Udio žena starosti 18–74 godine koje su doživjele neki od oblika nasilja od strane sadašnjeg ili bivšeg partnera, od 15. godine života (%)","Удио жена старости 18–74 године које су доживјеле неки од облика насиља од стране садашњег или бившег партнера, од 15. године живота (%)",3,1
VC_VAW_NMARR12M,"Proportion of women aged 18–74 years subjected to physical and sexual violence by persons other than an intimate partner, in the previous 12 months (%)","Udio žena starosti 18–74 godine koje su bile izložene fizičkom i seksualnom nasilju od strane osoba koje nisu njihov bliski partner, u proteklih 12 mjeseci (%)","Удио жена старости 18–74 године које су биле изложене физичком и сексуалном насиљу од стране особа које нису њихов блиски партнер, у протеклих 12 мјесеци (%)",2,1
VC_VAW_NMARRY15,"Proportion of women aged 18–74 years subjected to physical and sexual violence by persons other than an intimate partner, from the age of 15 (%)","Udio žena starosti 18–74 godine koje su bile izložene fizičkom i seksualnom nasilju od strane osoba koje nisu njihov bliski partner, od 15. godine života (%)","Удио жена старости 18–74 године које су биле изложене физичком и сексуалном насиљу од стране особа које нису њихов блиски партнер, од 15. године живота (%)",2,1
