Year,SERIES,UNIT_MEASURE,AGE,SEX,Value,,,,,,,,,,
2018,SH_HIV_INCDAS,NUMBER,Y50T59,_T,0,,,,,,,,,,
2018,SH_HIV_INCDAS,NUMBER,Y60T69,_T,0,,,,,,,,,,
2018,SH_HIV_INCDAS,NUMBER,_U,_T,1,,,,,,,,,,
2019,SH_HIV_INCDAS,NUMBER,Y20T29,_T,0,,,,,,,,,,
2019,SH_HIV_INCDAS,NUMBER,Y30T39,_T,4,,,,,,,,,,
2019,SH_HIV_INCDAS,NUMBER,Y40T49,_T,0,,,,,,,,,,
2019,SH_HIV_INCDAS,NUMBER,Y50T59,_T,1,,,,,,,,,,
2019,SH_HIV_INCDAS,NUMBER,Y60T69,_T,0,,,,,,,,,,
2019,SH_HIV_INCDAS,NUMBER,_U,_T,0,,,,,,,,,,
2020,SH_HIV_INCDAS,NUMBER,Y20T29,_T,1,,,,,,,,,,
2020,SH_HIV_INCDAS,NUMBER,Y30T39,_T,1,,,,,,,,,,
2020,SH_HIV_INCDAS,NUMBER,Y40T49,_T,1,,,,,,,,,,
2020,SH_HIV_INCDAS,NUMBER,Y50T59,_T,0,,,,,,,,,,
2020,SH_HIV_INCDAS,NUMBER,Y60T69,_T,0,,,,,,,,,,
2020,SH_HIV_INCDAS,NUMBER,_U,_T,0,,,,,,,,,,
2021,SH_HIV_INCDAS,NUMBER,Y20T29,_T,5,,,,,,,,,,
2021,SH_HIV_INCDAS,NUMBER,Y30T39,_T,7,,,,,,,,,,
2021,SH_HIV_INCDAS,NUMBER,Y40T49,_T,3,,,,,,,,,,
2021,SH_HIV_INCDAS,NUMBER,Y50T59,_T,1,,,,,,,,,,
2021,SH_HIV_INCDAS,NUMBER,Y60T69,_T,0,,,,,,,,,,
2021,SH_HIV_INCDAS,NUMBER,_U,_T,0,,,,,,,,,,
