Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2015,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Higher education,5225.0
2016,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Higher education,3954.0
2017,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Higher education,4425.0
2018,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Higher education,5291.0
2019,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Higher education,6661.0
2020,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Higher education,7102.0
2021,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Higher education,10173.0
2009,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,0.0
2010,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,149.0
2011,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,42.0
2012,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,46.0
2013,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,106.0
2014,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,782.0
2015,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,480.0
2016,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,579.0
2017,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,414.0
2018,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,642.0
2019,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,33.0
2020,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,0.0
2021,"Gross domestic expenditure on research and development, by sector",in thousands of BAM,Non-profit,0.0
