Year,SERIES,UNIT_MEASURE,Sex,Degree of urbanisation,Age,Education level,COMPOSITE_BREAKDOWN,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Value
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,16 to 24 years old,,,,,,,,,,,,90.9
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,16 to 24 years old,,,,,,,,,,,,97.3
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,16 to 24 years old,,,,,,,,,,,,97.5
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,16 to 24 years old,,,,,,,,,,,,100.0
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,16 to 24 years old,,,,,,,,,,,,100.0
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,16 to 24 years old,,,,,,,,,,,,100.0
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,25 to 34 years old,,,,,,,,,,,,77.5
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,25 to 34 years old,,,,,,,,,,,,78.9
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,25 to 34 years old,,,,,,,,,,,,80.9
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,25 to 34 years old,,,,,,,,,,,,93.0
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,25 to 34 years old,,,,,,,,,,,,96.8
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,25 to 34 years old,,,,,,,,,,,,98.7
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,25 to 34 years old,,,,,,,,,,,,100.0
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,25 to 34 years old,,,,,,,,,,,,99.6
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,35 to 44 years old,,,,,,,,,,,,66.8
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,Y35T45,,,,,,,,,,,,68.4
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,Y35T46,,,,,,,,,,,,64.5
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,Y35T47,,,,,,,,,,,,82.7
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,Y35T48,,,,,,,,,,,,94.3
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,Y35T49,,,,,,,,,,,,91.7
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,Y35T50,,,,,,,,,,,,100.0
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,Y35T51,,,,,,,,,,,,95.2
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,45 to 54 years old,,,,,,,,,,,,44.9
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,45 to 54 years old,,,,,,,,,,,,48.3
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,45 to 54 years old,,,,,,,,,,,,47.6
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,45 to 54 years old,,,,,,,,,,,,73.4
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,45 to 54 years old,,,,,,,,,,,,85.6
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,45 to 54 years old,,,,,,,,,,,,82.3
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,45 to 54 years old,,,,,,,,,,,,94.7
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,45 to 54 years old,,,,,,,,,,,,93.4
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,55 to 64 years old,,,,,,,,,,,,20.2
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,55 to 64 years old,,,,,,,,,,,,28.5
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,55 to 64 years old,,,,,,,,,,,,27.7
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,55 to 64 years old,,,,,,,,,,,,46.0
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,55 to 64 years old,,,,,,,,,,,,60.1
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,55 to 64 years old,,,,,,,,,,,,65.0
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,55 to 64 years old,,,,,,,,,,,,71.6
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,55 to 64 years old,,,,,,,,,,,,78.0
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,65 to 74 years old,,,,,,,,,,,,6.1
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,65 to 74 years old,,,,,,,,,,,,11.4
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,65 to 74 years old,,,,,,,,,,,,10.3
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,65 to 74 years old,,,,,,,,,,,,24.7
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,65 to 74 years old,,,,,,,,,,,,30.8
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,65 to 74 years old,,,,,,,,,,,,40.0
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,65 to 74 years old,,,,,,,,,,,,36.3
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,65 to 74 years old,,,,,,,,,,,,54.3
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Lower than secondary,,,,,,,,,,,8.9
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Lower than secondary,,,,,,,,,,,9.7
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Lower than secondary,,,,,,,,,,,17.7
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Lower than secondary,,,,,,,,,,,43.1
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Lower than secondary,,,,,,,,,,,39.3
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Lower than secondary,,,,,,,,,,,40.2
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Lower than secondary,,,,,,,,,,,39.0
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Lower than secondary,,,,,,,,,,,50.1
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Secondary,,,,,,,,,,,48.4
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Secondary,,,,,,,,,,,52.5
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Secondary,,,,,,,,,,,54.8
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Secondary,,,,,,,,,,,74.0
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Secondary,,,,,,,,,,,80.4
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Secondary,,,,,,,,,,,79.4
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Secondary,,,,,,,,,,,80.9
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,Secondary,,,,,,,,,,,85.1
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,High and higher,,,,,,,,,,,74.9
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,High and higher,,,,,,,,,,,81.1
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,High and higher,,,,,,,,,,,79.4
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,High and higher,,,,,,,,,,,93.0
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,High and higher,,,,,,,,,,,98.3
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,High and higher,,,,,,,,,,,95.6
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,High and higher,,,,,,,,,,,94.3
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,High and higher,,,,,,,,,,,95.4
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Students,,,,,,,,,,88.4
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Students,,,,,,,,,,100.0
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Students,,,,,,,,,,95.9
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Students,,,,,,,,,,98.5
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Students,,,,,,,,,,100.0
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Students,,,,,,,,,,100.0
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Students,,,,,,,,,,100.0
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Students,,,,,,,,,,100.0
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Employed persons,,,,,,,,,,68.7
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Employed persons,,,,,,,,,,75.7
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Employed persons,,,,,,,,,,68.6
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Employed persons,,,,,,,,,,86.4
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Employed persons,,,,,,,,,,94.0
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Employed persons,,,,,,,,,,92.2
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Employed persons,,,,,,,,,,97.1
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Employed persons,,,,,,,,,,96.5
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Unemployed persons,,,,,,,,,,34.9
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Unemployed persons,,,,,,,,,,44.4
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Unemployed persons,,,,,,,,,,40.9
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Unemployed persons,,,,,,,,,,64.4
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Unemployed persons,,,,,,,,,,74.9
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Unemployed persons,,,,,,,,,,68.0
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Unemployed persons,,,,,,,,,,79.0
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Unemployed persons,,,,,,,,,,84.5
2014,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Other,,,,,,,,,,13.3
2015,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Other,,,,,,,,,,17.8
2016,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Other,,,,,,,,,,17.7
2017,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Other,,,,,,,,,,31.3
2018,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Other,,,,,,,,,,42.4
2019,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Other,,,,,,,,,,52.7
2020,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Other,,,,,,,,,,47.9
2021,Percentage of persons aged 16–74 years who used the Internet in the last three months,Percent,,,,,Other,,,,,,,,,,65.3
