Year,SERIES,UNIT_MEASURE,Sex,Age,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Value
2014,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,23.8
2015,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,23.4
2016,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,21.6
2017,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,18.0
2018,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,16.3
2019,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,9.5
2020,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,12.7
2021,Unemployment rate,Percent,Male,15 years old and over,,,,,,,,,,,,,,12.9
2009,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,22.4
2010,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,25.9
2011,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,26.5
2012,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,28.2
2013,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,29.5
2014,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,28.4
2015,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,27.7
2016,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,29.5
2017,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,25.1
2018,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,18.5
2019,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,14.7
2020,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,13.0
2021,Unemployment rate,Percent,Female,15 years old and over,,,,,,,,,,,,,,16.3
2009,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,38.4
2010,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,46.8
2011,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,53.2
2012,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,54.3
2013,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,59.2
2014,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,56.5
2015,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,56.5
2016,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,52.3
2017,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,46.2
2018,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,35.2
2019,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,23.8
2020,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,28.1
2021,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 24 years old,,,,,,,,,,,,,,31.8
2009,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,35.7
2010,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,46.5
2011,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,51.3
2012,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,54.5
2013,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,59.4
2014,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,55.2
2015,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,52.2
2016,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,47.5
2017,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,42.1
2018,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,29.8
2019,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,20.6
2020,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,26.2
2021,Unemployment rate,Percent,Male,15 to 24 years old,,,,,,,,,,,,,,29.8
2009,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,43.2
2010,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,47.3
2011,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,56.8
2012,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,54.0
2013,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,58.7
2014,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,58.7
2015,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,65.1
2016,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,62.0
2017,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,55.6
2018,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,48.0
2019,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,29.1
2020,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,30.7
2021,Unemployment rate,Percent,Female,15 to 24 years old,,,,,,,,,,,,,,34.7
2009,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,20.4
2010,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,23.1
2011,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,23.2
2012,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,26.7
2013,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,27.7
2014,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,27.3
2015,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,25.6
2016,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,25.9
2017,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,22.5
2018,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,18.7
2019,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,13.6
2020,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,13.7
2021,Unemployment rate,Percent,Both sexes or no breakdown by sex,25 to 49 years old,,,,,,,,,,,,,,14.1
2009,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,18.2
2010,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,20.2
2011,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,20.7
2012,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,22.7
2013,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,24.7
2014,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,23.7
2015,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,22.2
2016,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,21.4
2017,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,17.5
2018,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,17.3
2019,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,11.5
2020,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,13.6
2021,Unemployment rate,Percent,Male,25 to 49 years old,,,,,,,,,,,,,,12.9
2009,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,23.4
2010,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,27.1
2011,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,26.6
2012,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,32.1
2013,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,32.0
2014,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,32.5
2015,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,30.5
2016,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,32.1
2017,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,29.1
2018,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,20.8
2019,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,16.7
2020,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,13.8
2021,Unemployment rate,Percent,Female,25 to 49 years old,,,,,,,,,,,,,,15.7
2009,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,18.9
2010,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,18.9
2011,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,20.2
2012,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,17.1
2013,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,19.0
2014,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,16.4
2015,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,17.8
2016,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,16.8
2017,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,14.3
2018,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,12.2
2019,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,8.5
2020,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,8.7
2021,Unemployment rate,Percent,Both sexes or no breakdown by sex,50 to 64 years old,,,,,,,,,,,,,,10.5
2009,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,21.5
2010,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,19.6
2011,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,19.6
2012,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,17.7
2013,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,18.0
2014,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,17.0
2015,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,18.6
2016,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,15.3
2017,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,13.4
2018,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,12.4
2019,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,5.9
2020,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,8.7
2021,Unemployment rate,Percent,Male,50 to 64 years old,,,,,,,,,,,,,,8.4
2009,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,15.0
2010,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,17.9
2011,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,21.0
2012,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,16.4
2013,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,20.3
2014,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,15.5
2015,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,16.6
2016,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,19.3
2017,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,15.5
2018,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,11.9
2019,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,12.2
2020,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,8.6
2021,Unemployment rate,Percent,Female,50 to 64 years old,,,,,,,,,,,,,,13.6
2021,Unemployment rate,Percent,Both sexes or no breakdown by sex,65 years old and over,,,,,,,,,,,,,,7.7
2021,Unemployment rate,Percent,Male,65 years old and over,,,,,,,,,,,,,,6.4
2021,Unemployment rate,Percent,Female,65 years old and over,,,,,,,,,,,,,,9.1
2009,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,21.9
2010,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,24.5
2011,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,25.2
2012,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,26.6
2013,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,28.0
2014,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,26.8
2015,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,26.3
2016,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,25.5
2017,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,22.1
2018,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,18.0
2019,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,12.7
2020,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,13.4
2021,Unemployment rate,Percent,Both sexes or no breakdown by sex,15 to 64 years old,,,,,,,,,,,,,,14.5
2009,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,21.2
2010,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,22.8
2011,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,23.7
2012,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,24.6
2013,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,26.2
2014,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,24.9
2015,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,24.4
2016,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,22.1
2017,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,19.0
2018,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,17.0
2019,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,10.3
2020,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,13.2
2021,Unemployment rate,Percent,Male,15 to 64 years old,,,,,,,,,,,,,,13.0
2009,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,23.0
2010,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,26.9
2011,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,27.5
2012,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,29.4
2013,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,30.6
2014,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,29.7
2015,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,29.1
2016,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,30.6
2017,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,26.5
2018,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,19.7
2019,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,16.1
2020,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,13.7
2021,Unemployment rate,Percent,Female,15 to 64 years old,,,,,,,,,,,,,,16.6
