Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2015,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,87257
2016,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,107500
2017,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,142480
2018,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,110107
2019,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,99956
2020,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,113803
2021,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,102462
2011,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,698367
2012,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,559897
2013,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,599931
2014,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,570437
2015,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,509689
2016,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,521492
2017,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,645335
2018,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,729090
2019,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,678774
2020,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,594310
2021,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,811312
2011,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,21886
2012,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,36248
2013,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,35876
2014,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,66207
2015,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,69271
2016,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,74924
2017,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,102156
2018,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,96959
2019,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,79858
2020,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,65827
2021,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,88079
2011,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,19691
2012,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,21732
2013,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,19647
2014,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,24822
2015,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,19268
2016,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,13970
2017,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,14951
2018,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,16388
2019,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,9147
2020,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,10140
2021,Exports from Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,11533
2011,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,1823350
2012,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,1840594
2013,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,1799168
2014,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,1965735
2015,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,2085822
2016,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,2208555
2017,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,2410269
2018,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,2618484
2019,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,2726613
2020,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,2567470
2021,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EU–27 countries,3227270
2011,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,21632
2012,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,24819
2013,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,18033
2014,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,21351
2015,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,21241
2016,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,22914
2017,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,20201
2018,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,27771
2019,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,28491
2020,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,24219
2021,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,EFTA countries,29331
2011,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,150665
2012,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,154467
2013,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,162449
2014,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,180678
2015,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,204874
2016,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,213756
2017,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,270827
2018,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,272463
2019,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,272676
2020,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,231526
2021,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developed countries,295075
2011,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,892210
2012,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,839045
2013,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,842108
2014,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,877818
2015,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,839876
2016,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,888280
2017,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,940851
2018,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,980069
2019,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,989658
2020,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,934931
2021,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,CEFTA countries,1164118
2011,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,1689561
2012,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,1628570
2013,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,1735852
2014,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,1900457
2015,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,1217367
2016,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,1092154
2017,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,1246075
2018,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,1313208
2019,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,760076
2020,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,709971
2021,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Other developing countries,861202
2011,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,107
2012,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,53
2013,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,26
2014,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,22
2015,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,0
2016,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,1284
2017,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,10857
2018,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,10275
2019,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,4677
2020,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,4171
2021,Imports to Republika Srpska by economic groupings of countries,in thousands of BAM,Unclassified,3527
