Year,SERIES,UNIT_MEASURE,Sex,Age,Value
2019,Number of social protection beneficiaries by sex and age,Number,Male,Minor,2564.0
2020,Number of social protection beneficiaries by sex and age,Number,Male,Minor,2754.0
2021,Number of social protection beneficiaries by sex and age,Number,Male,Minor,2986.0
2012,Number of social protection beneficiaries by sex and age,Number,Male,Adult,15901.0
2013,Number of social protection beneficiaries by sex and age,Number,Male,Adult,16331.0
2014,Number of social protection beneficiaries by sex and age,Number,Male,Adult,21005.0
2015,Number of social protection beneficiaries by sex and age,Number,Male,Adult,17377.0
2016,Number of social protection beneficiaries by sex and age,Number,Male,Adult,18129.0
2017,Number of social protection beneficiaries by sex and age,Number,Male,Adult,17747.0
2018,Number of social protection beneficiaries by sex and age,Number,Male,Adult,21228.0
2019,Number of social protection beneficiaries by sex and age,Number,Male,Adult,20729.0
2020,Number of social protection beneficiaries by sex and age,Number,Male,Adult,20907.0
2021,Number of social protection beneficiaries by sex and age,Number,Male,Adult,21968.0
2012,Number of social protection beneficiaries by sex and age,Number,Female,All age ranges or no breakdown by age,22445.0
2013,Number of social protection beneficiaries by sex and age,Number,Female,All age ranges or no breakdown by age,22069.0
2014,Number of social protection beneficiaries by sex and age,Number,Female,All age ranges or no breakdown by age,25489.0
2015,Number of social protection beneficiaries by sex and age,Number,Female,All age ranges or no breakdown by age,22447.0
2016,Number of social protection beneficiaries by sex and age,Number,Female,All age ranges or no breakdown by age,23656.0
2017,Number of social protection beneficiaries by sex and age,Number,Female,All age ranges or no breakdown by age,23250.0
2018,Number of social protection beneficiaries by sex and age,Number,Female,All age ranges or no breakdown by age,25263.0
2019,Number of social protection beneficiaries by sex and age,Number,Female,All age ranges or no breakdown by age,25959.0
2020,Number of social protection beneficiaries by sex and age,Number,Female,All age ranges or no breakdown by age,26991.0
2021,Number of social protection beneficiaries by sex and age,Number,Female,All age ranges or no breakdown by age,27114.0
2012,Number of social protection beneficiaries by sex and age,Number,Female,Minor,2289.0
2013,Number of social protection beneficiaries by sex and age,Number,Female,Minor,2830.0
2014,Number of social protection beneficiaries by sex and age,Number,Female,Minor,2557.0
2015,Number of social protection beneficiaries by sex and age,Number,Female,Minor,1339.0
2016,Number of social protection beneficiaries by sex and age,Number,Female,Minor,1366.0
2017,Number of social protection beneficiaries by sex and age,Number,Female,Minor,1876.0
2018,Number of social protection beneficiaries by sex and age,Number,Female,Minor,2608.0
2019,Number of social protection beneficiaries by sex and age,Number,Female,Minor,1790.0
2020,Number of social protection beneficiaries by sex and age,Number,Female,Minor,1978.0
2021,Number of social protection beneficiaries by sex and age,Number,Female,Minor,2050.0
2012,Number of social protection beneficiaries by sex and age,Number,Female,Adult,20156.0
2013,Number of social protection beneficiaries by sex and age,Number,Female,Adult,19239.0
2014,Number of social protection beneficiaries by sex and age,Number,Female,Adult,22932.0
2015,Number of social protection beneficiaries by sex and age,Number,Female,Adult,21108.0
2016,Number of social protection beneficiaries by sex and age,Number,Female,Adult,22290.0
2017,Number of social protection beneficiaries by sex and age,Number,Female,Adult,21374.0
2018,Number of social protection beneficiaries by sex and age,Number,Female,Adult,22655.0
2019,Number of social protection beneficiaries by sex and age,Number,Female,Adult,24169.0
2020,Number of social protection beneficiaries by sex and age,Number,Female,Adult,25013.0
2021,Number of social protection beneficiaries by sex and age,Number,Female,Adult,25064.0
2012,Number of social protection beneficiaries receiving financial aid,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,5156.0
2013,Number of social protection beneficiaries receiving financial aid,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,5156.0
2014,Number of social protection beneficiaries receiving financial aid,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,5219.0
2015,Number of social protection beneficiaries receiving financial aid,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,5067.0
2016,Number of social protection beneficiaries receiving financial aid,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,5071.0
2017,Number of social protection beneficiaries receiving financial aid,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,4905.0
2018,Number of social protection beneficiaries receiving financial aid,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,4487.0
2019,Number of social protection beneficiaries receiving financial aid,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,4487.0
2020,Number of social protection beneficiaries receiving financial aid,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,4076.0
2021,Number of social protection beneficiaries receiving financial aid,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,4142.0
2012,Number of social protection beneficiaries receiving financial aid,Number,Male,All age ranges or no breakdown by age,1852.0
2013,Number of social protection beneficiaries receiving financial aid,Number,Male,All age ranges or no breakdown by age,1852.0
2014,Number of social protection beneficiaries receiving financial aid,Number,Male,All age ranges or no breakdown by age,1940.0
2015,Number of social protection beneficiaries receiving financial aid,Number,Male,All age ranges or no breakdown by age,1948.0
2016,Number of social protection beneficiaries receiving financial aid,Number,Male,All age ranges or no breakdown by age,2020.0
2017,Number of social protection beneficiaries receiving financial aid,Number,Male,All age ranges or no breakdown by age,1955.0
2018,Number of social protection beneficiaries receiving financial aid,Number,Male,All age ranges or no breakdown by age,1800.0
2019,Number of social protection beneficiaries receiving financial aid,Number,Male,All age ranges or no breakdown by age,1846.0
2020,Number of social protection beneficiaries receiving financial aid,Number,Male,All age ranges or no breakdown by age,1727.0
2021,Number of social protection beneficiaries receiving financial aid,Number,Male,All age ranges or no breakdown by age,1821.0
2012,Number of social protection beneficiaries receiving financial aid,Number,Female,All age ranges or no breakdown by age,3304.0
2013,Number of social protection beneficiaries receiving financial aid,Number,Female,All age ranges or no breakdown by age,3304.0
2014,Number of social protection beneficiaries receiving financial aid,Number,Female,All age ranges or no breakdown by age,3279.0
2015,Number of social protection beneficiaries receiving financial aid,Number,Female,All age ranges or no breakdown by age,3119.0
2016,Number of social protection beneficiaries receiving financial aid,Number,Female,All age ranges or no breakdown by age,3051.0
2017,Number of social protection beneficiaries receiving financial aid,Number,Female,All age ranges or no breakdown by age,2950.0
2018,Number of social protection beneficiaries receiving financial aid,Number,Female,All age ranges or no breakdown by age,2687.0
2019,Number of social protection beneficiaries receiving financial aid,Number,Female,All age ranges or no breakdown by age,2641.0
2020,Number of social protection beneficiaries receiving financial aid,Number,Female,All age ranges or no breakdown by age,2349.0
2021,Number of social protection beneficiaries receiving financial aid,Number,Female,All age ranges or no breakdown by age,2321.0
2012,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,17219.0
2013,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,17219.0
2014,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,20286.0
2015,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,23048.0
2016,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,25127.0
2017,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,25944.0
2018,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,26394.0
2019,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,27774.0
2020,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,28270.0
2021,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,29691.0
2012,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,All age ranges or no breakdown by age,8008.0
2013,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,All age ranges or no breakdown by age,8008.0
2014,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,All age ranges or no breakdown by age,9264.0
2015,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,All age ranges or no breakdown by age,10465.0
2016,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,All age ranges or no breakdown by age,11383.0
2017,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,All age ranges or no breakdown by age,11987.0
2018,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,All age ranges or no breakdown by age,12123.0
2019,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,All age ranges or no breakdown by age,12813.0
2020,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,All age ranges or no breakdown by age,12419.0
2021,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,All age ranges or no breakdown by age,13673.0
2012,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,All age ranges or no breakdown by age,9211.0
2013,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,All age ranges or no breakdown by age,9211.0
2014,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,All age ranges or no breakdown by age,11022.0
2015,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,All age ranges or no breakdown by age,12581.0
2016,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,All age ranges or no breakdown by age,13744.0
2017,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,All age ranges or no breakdown by age,13957.0
2018,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,All age ranges or no breakdown by age,14271.0
2019,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,All age ranges or no breakdown by age,14961.0
2020,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,All age ranges or no breakdown by age,15851.0
2021,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,All age ranges or no breakdown by age,16018.0
2012,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,Number of children,1849.0
2013,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,Number of children,1849.0
2014,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,Number of children,1501.0
2015,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,Number of children,1272.0
2016,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,Number of children,1492.0
2017,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,Number of children,2022.0
2018,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,Number of children,1538.0
2019,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,Number of children,1689.0
2020,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,Number of children,1982.0
2021,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Both sexes or no breakdown by sex,Number of children,2021.0
2012,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,Number of children,937.0
2013,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,Number of children,937.0
2014,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,Number of children,848.0
2015,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,Number of children,718.0
2016,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,Number of children,905.0
2017,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,Number of children,1129.0
2018,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,Number of children,919.0
2019,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,Number of children,1010.0
2020,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,Number of children,1189.0
2021,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Male,Number of children,1220.0
2012,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,Number of children,912.0
2013,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,Number of children,912.0
2014,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,Number of children,653.0
2015,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,Number of children,554.0
2016,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,Number of children,587.0
2017,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,Number of children,893.0
2018,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,Number of children,619.0
2019,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,Number of children,679.0
2020,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,Number of children,793.0
2021,Number of social protection beneficiaries receiving cash benefits for providing care and support to another person,Number,Female,Number of children,801.0
2012,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,333.0
2013,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,333.0
2014,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,432.0
2015,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,410.0
2016,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,339.0
2017,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,349.0
2018,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,382.0
2019,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,239.0
2020,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,223.0
2021,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,248.0
2012,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,All age ranges or no breakdown by age,199.0
2013,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,All age ranges or no breakdown by age,199.0
2014,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,All age ranges or no breakdown by age,248.0
2015,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,All age ranges or no breakdown by age,235.0
2016,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,All age ranges or no breakdown by age,186.0
2017,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,All age ranges or no breakdown by age,184.0
2018,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,All age ranges or no breakdown by age,204.0
2019,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,All age ranges or no breakdown by age,115.0
2020,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,All age ranges or no breakdown by age,112.0
2021,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,All age ranges or no breakdown by age,137.0
2012,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,All age ranges or no breakdown by age,134.0
2013,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,All age ranges or no breakdown by age,134.0
2014,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,All age ranges or no breakdown by age,184.0
2015,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,All age ranges or no breakdown by age,175.0
2016,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,All age ranges or no breakdown by age,153.0
2017,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,All age ranges or no breakdown by age,165.0
2018,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,All age ranges or no breakdown by age,178.0
2019,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,All age ranges or no breakdown by age,121.0
2020,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,All age ranges or no breakdown by age,111.0
2021,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,All age ranges or no breakdown by age,111.0
2012,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,Number of children,290.0
2013,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,Number of children,290.0
2014,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,Number of children,414.0
2015,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,Number of children,386.0
2016,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,Number of children,306.0
2017,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,Number of children,322.0
2018,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,Number of children,325.0
2019,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,Number of children,147.0
2020,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,Number of children,141.0
2021,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Both sexes or no breakdown by sex,Number of children,134.0
2012,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,Number of children,175.0
2013,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,Number of children,175.0
2014,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,Number of children,237.0
2015,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,Number of children,229.0
2016,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,Number of children,170.0
2017,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,Number of children,175.0
2018,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,Number of children,194.0
2019,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,Number of children,74.0
2020,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,Number of children,75.0
2021,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Male,Number of children,74.0
2012,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,Number of children,115.0
2013,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,Number of children,115.0
2014,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,Number of children,177.0
2015,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,Number of children,157.0
2016,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,Number of children,136.0
2017,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,Number of children,147.0
2018,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,Number of children,131.0
2019,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,Number of children,73.0
2020,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,Number of children,66.0
2021,Number of social protection beneficiaries receiving support in the equalization of opportunities for disabled children and youth,Number,Female,Number of children,60.0
2012,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,1048.0
2013,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,1048.0
2014,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,1059.0
2015,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,1029.0
2016,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,1089.0
2017,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,1071.0
2018,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,1145.0
2019,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,1078.0
2020,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,1179.0
2021,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,1190.0
2012,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Male,All age ranges or no breakdown by age,473.0
2013,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Male,All age ranges or no breakdown by age,473.0
2014,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Male,All age ranges or no breakdown by age,491.0
2015,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Male,All age ranges or no breakdown by age,504.0
2016,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Male,All age ranges or no breakdown by age,504.0
2017,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Male,All age ranges or no breakdown by age,500.0
2018,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Male,All age ranges or no breakdown by age,525.0
2019,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Male,All age ranges or no breakdown by age,504.0
2020,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Male,All age ranges or no breakdown by age,544.0
2021,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Male,All age ranges or no breakdown by age,533.0
2012,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Female,All age ranges or no breakdown by age,575.0
2013,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Female,All age ranges or no breakdown by age,575.0
2014,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Female,All age ranges or no breakdown by age,568.0
2015,Number of social protection beneficiaries placed in a social protection institution or in another institution,Number,Female,All age ranges or no breakdown by age,525.0
