Year,SERIES,UNIT_MEASURE,Sex,Unnamed: 5,Unnamed: 6,Unnamed: 7,Value
2018,SH_STA_SCIDE,"Per 100,000 population",Male,,,,21.4
2019,SH_STA_SCIDE,"Per 100,000 population",Male,,,,24.5
2020,SH_STA_SCIDE,"Per 100,000 population",Male,,,,25.8
2021,SH_STA_SCIDE,"Per 100,000 population",Male,,,,25.2
2009,SH_STA_SCIDE,"Per 100,000 population",Female,,,,13.3
2010,SH_STA_SCIDE,"Per 100,000 population",Female,,,,7.7
2011,SH_STA_SCIDE,"Per 100,000 population",Female,,,,11.7
2012,SH_STA_SCIDE,"Per 100,000 population",Female,,,,8.8
2013,SH_STA_SCIDE,"Per 100,000 population",Female,,,,8.0
2014,SH_STA_SCIDE,"Per 100,000 population",Female,,,,8.5
2015,SH_STA_SCIDE,"Per 100,000 population",Female,,,,8.6
2016,SH_STA_SCIDE,"Per 100,000 population",Female,,,,8.1
2017,SH_STA_SCIDE,"Per 100,000 population",Female,,,,6.8
2018,SH_STA_SCIDE,"Per 100,000 population",Female,,,,7.5
2019,SH_STA_SCIDE,"Per 100,000 population",Female,,,,6.2
2020,SH_STA_SCIDE,"Per 100,000 population",Female,,,,7.1
2021,SH_STA_SCIDE,"Per 100,000 population",Female,,,,9.4
