Year,SERIES,UNIT_MEASURE,AGE,SEX,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Value
2017,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,1.0
2017,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,0.0
2017,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,0.0
2018,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,2.0
2018,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,1.0
2018,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,1.0
2018,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,0.0
2018,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,0.0
2018,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,1.0
2019,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,0.0
2019,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,4.0
2019,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,0.0
2019,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,1.0
2019,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,0.0
2019,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,0.0
2020,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,1.0
2020,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,1.0
2020,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,1.0
2020,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,0.0
2020,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,0.0
2020,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,0.0
2021,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,5.0
2021,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,7.0
2021,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,3.0
2021,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,1.0
2021,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,0.0
2021,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,0.0
